,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,time_next,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,knee_angle_r_next,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,ankle_angle_r_next,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,knee_angle_l_next,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,ankle_angle_l_next
16,3.31,-4.71732033,-52.36351506,0.0724255,0.8377504,3.3,3.305,3.315,-9.74594133,-9.35464397,-8.95091299,-8.55154931,-3.85641891,-3.75705436,-3.67038348,-3.59081411,-62.79350233,-62.53068435,-62.23355982,-61.90177612,-16.56414395,-15.95199638,-15.35785819,-14.78021807
17,3.315,-5.99293817,-53.60105333,-0.51357089,0.82661754,3.305,3.31,3.32,-9.35464397,-8.95091299,-8.55154931,-8.17475281,-3.75705436,-3.67038348,-3.59081411,-3.4945593,-62.53068435,-62.23355982,-61.90177612,-61.5277379,-15.95199638,-15.35785819,-14.78021807,-14.23016555
18,3.32,-7.26024463,-54.86048813,-1.14189259,0.81482033,3.31,3.315,3.325,-8.95091299,-8.55154931,-8.17475281,-7.79434814,-3.67038348,-3.59081411,-3.4945593,-3.38219045,-62.23355982,-61.90177612,-61.5277379,-61.11969738,-15.35785819,-14.78021807,-14.23016555,-13.72445537
19,3.325,-8.50585285,-56.14100721,-1.79533947,0.80284811,3.315,3.32,3.33,-8.55154931,-8.17475281,-7.79434814,-7.45958327,-3.59081411,-3.4945593,-3.38219045,-3.30313777,-61.90177612,-61.5277379,-61.11969738,-60.66929373,-14.78021807,-14.23016555,-13.72445537,-13.17791365
20,3.33,-9.71697183,-57.44075334,-2.45904766,0.79101918,3.32,3.325,3.335,-8.17475281,-7.79434814,-7.45958327,-7.12153343,-3.4945593,-3.38219045,-3.30313777,-3.19481491,-61.5277379,-61.11969738,-60.66929373,-60.18251993,-14.23016555,-13.72445537,-13.17791365,-12.67461262
21,3.335,-10.88537926,-58.75814604,-3.12039394,0.779512,3.325,3.33,3.34,-7.79434814,-7.45958327,-7.12153343,-6.78338687,-3.38219045,-3.30313777,-3.19481491,-3.10686386,-61.11969738,-60.66929373,-60.18251993,-59.67458343,-13.72445537,-13.17791365,-12.67461262,-12.16760115
22,3.34,-12.0098779,-60.09250756,-3.76047755,0.76929187,3.33,3.335,3.345,-7.45958327,-7.12153343,-6.78338687,-6.4839388,-3.30313777,-3.19481491,-3.10686386,-2.98343105,-60.66929373,-60.18251993,-59.67458343,-59.11644558,-13.17791365,-12.67461262,-12.16760115,-11.68844777
23,3.345,-13.09273632,-61.44248427,-4.36353896,0.76101713,3.335,3.34,3.35,-7.12153343,-6.78338687,-6.4839388,-6.20125108,-3.19481491,-3.10686386,-2.98343105,-2.82360179,-60.18251993,-59.67458343,-59.11644558,-58.51186993,-12.67461262,-12.16760115,-11.68844777,-11.26633006
24,3.35,-14.14096321,-62.80535135,-4.92912995,0.75384454,3.34,3.345,3.355,-6.78338687,-6.4839388,-6.20125108,-5.96096362,-3.10686386,-2.98343105,-2.82360179,-2.69602196,-59.67458343,-59.11644558,-58.51186993,-57.87843718,-12.16760115,-11.68844777,-11.26633006,-10.81987223
25,3.355,-15.16215879,-64.17636054,-5.45090884,0.74770826,3.345,3.35,3.36,-6.4839388,-6.20125108,-5.96096362,-5.69471784,-2.98343105,-2.82360179,-2.69602196,-2.57568857,-59.11644558,-58.51186993,-57.87843718,-57.23168652,-11.68844777,-11.26633006,-10.81987223,-10.38555527
26,3.36,-16.16141044,-65.55295117,-5.92393024,0.74251608,3.35,3.355,3.365,-6.20125108,-5.96096362,-5.69471784,-5.46695538,-2.82360179,-2.69602196,-2.57568857,-2.42287657,-58.51186993,-57.87843718,-57.23168652,-56.5391062,-11.26633006,-10.81987223,-10.38555527,-9.99769949
27,3.365,-17.13984712,-66.93253808,-6.34449158,0.73816606,3.355,3.36,3.37,-5.96096362,-5.69471784,-5.46695538,-5.27286725,-2.69602196,-2.57568857,-2.42287657,-2.25768663,-57.87843718,-57.23168652,-56.5391062,-55.80544623,-10.81987223,-10.38555527,-9.99769949,-9.64298724
28,3.37,-18.09723616,-68.31371624,-6.70998774,0.73456066,3.36,3.365,3.375,-5.69471784,-5.46695538,-5.27286725,-5.07662278,-2.57568857,-2.42287657,-2.25768663,-2.09239093,-57.23168652,-56.5391062,-55.80544623,-55.05427614,-10.38555527,-9.99769949,-9.64298724,-9.32685811
29,3.375,-19.03138827,-69.69483717,-7.01880641,0.7316191,3.365,3.37,3.38,-5.46695538,-5.27286725,-5.07662278,-4.86995002,-2.42287657,-2.25768663,-2.09239093,-1.94637764,-56.5391062,-55.80544623,-55.05427614,-54.29653395,-9.99769949,-9.64298724,-9.32685811,-9.0175037
30,3.38,-19.93706139,-71.07421064,-7.27026211,0.72928939,3.37,3.375,3.385,-5.27286725,-5.07662278,-4.86995002,-4.71306941,-2.25768663,-2.09239093,-1.94637764,-1.7741671,-55.80544623,-55.05427614,-54.29653395,-53.49334337,-9.64298724,-9.32685811,-9.0175037,-8.75235818
31,3.385,-20.80786747,-72.45268898,-7.46454162,0.72756148,3.375,3.38,3.39,-5.07662278,-4.86995002,-4.71306941,-4.56150231,-2.09239093,-1.94637764,-1.7741671,-1.59920081,-55.05427614,-54.29653395,-53.49334337,-52.67168093,-9.32685811,-9.0175037,-8.75235818,-8.51647215
32,3.39,-21.63802705,-73.83223146,-7.60265378,0.72648112,3.38,3.385,3.395,-4.86995002,-4.71306941,-4.56150231,-4.43287599,-1.94637764,-1.7741671,-1.59920081,-1.40277784,-54.29653395,-53.49334337,-52.67168093,-51.81845673,-9.0175037,-8.75235818,-8.51647215,-8.32188802
33,3.395,-22.42518942,-75.21669668,-7.68639659,0.72616258,3.385,3.39,3.4,-4.71306941,-4.56150231,-4.43287599,-4.28564828,-1.7741671,-1.59920081,-1.40277784,-1.25245418,-53.49334337,-52.67168093,-51.81845673,-50.95404858,-8.75235818,-8.51647215,-8.32188802,-8.09042627
34,3.4,-23.16974348,-76.61087381,-7.71834172,0.72679874,3.39,3.395,3.405,-4.56150231,-4.43287599,-4.28564828,-4.19790513,-1.59920081,-1.40277784,-1.25245418,-1.04099666,-52.67168093,-51.81845673,-50.95404858,-50.07229148,-8.51647215,-8.32188802,-8.09042627,-7.94456796
35,3.405,-23.87190316,-78.01736465,-7.70181952,0.72866679,3.395,3.4,3.41,-4.43287599,-4.28564828,-4.19790513,-4.12020193,-1.40277784,-1.25245418,-1.04099666,-0.86230935,-51.81845673,-50.95404858,-50.07229148,-49.14818088,-8.32188802,-8.09042627,-7.94456796,-7.81350601
36,3.41,-24.5330032,-79.43834983,-7.64089764,0.73212867,3.4,3.405,3.415,-4.28564828,-4.19790513,-4.12020193,-4.027971,-1.25245418,-1.04099666,-0.86230935,-0.6928491,-50.95404858,-50.07229148,-49.14818088,-48.22301246,-8.09042627,-7.94456796,-7.81350601,-7.66441798
37,3.415,-25.1518356,-80.87440677,-7.54035371,0.73762548,3.405,3.41,3.42,-4.19790513,-4.12020193,-4.027971,-3.96290296,-1.04099666,-0.86230935,-0.6928491,-0.48415457,-50.07229148,-49.14818088,-48.22301246,-47.27241567,-7.94456796,-7.81350601,-7.66441798,-7.53133737
38,3.42,-25.72291665,-82.32382167,-7.40562739,0.74566444,3.41,3.415,3.425,-4.12020193,-4.027971,-3.96290296,-3.9038857,-0.86230935,-0.6928491,-0.48415457,-0.30025418,-49.14818088,-48.22301246,-47.27241567,-46.29822574,-7.81350601,-7.66441798,-7.53133737,-7.42391812
39,3.425,-26.24079562,-83.78638605,-7.24273557,0.75679599,3.415,3.42,3.43,-4.027971,-3.96290296,-3.9038857,-3.85759384,-0.6928491,-0.48415457,-0.30025418,-0.10386248,-48.22301246,-47.27241567,-46.29822574,-45.30655188,-7.66441798,-7.53133737,-7.42391812,-7.3325577
40,3.43,-26.70257324,-85.26536867,-7.05815154,0.77158101,3.42,3.425,3.435,-3.96290296,-3.9038857,-3.85759384,-3.81891862,-0.48415457,-0.30025418,-0.10386248,0.08844883,-47.27241567,-46.29822574,-45.30655188,-44.29220802,-7.53133737,-7.42391812,-7.3325577,-7.27106965
41,3.435,-27.10558657,-86.76353313,-6.8586547,0.79055025,3.425,3.43,3.44,-3.9038857,-3.85759384,-3.81891862,-3.80246161,-0.30025418,-0.10386248,0.08844883,0.29368449,-46.29822574,-45.30655188,-44.29220802,-43.25802055,-7.42391812,-7.3325577,-7.27106965,-7.26056901
42,3.44,-27.44943645,-88.28342335,-6.65116012,0.814159,3.43,3.435,3.445,-3.85759384,-3.81891862,-3.80246161,-3.77940521,-0.10386248,0.08844883,0.29368449,0.49242977,-45.30655188,-44.29220802,-43.25802055,-42.198297,-7.3325577,-7.27106965,-7.26056901,-7.25862872
43,3.445,-27.73941434,-89.82830954,-6.44254617,0.84273998,3.435,3.44,3.45,-3.81891862,-3.80246161,-3.77940521,-3.76938128,0.08844883,0.29368449,0.49242977,0.70501768,-44.29220802,-43.25802055,-42.198297,-41.11541926,-7.27106965,-7.26056901,-7.25862872,-7.31216386
44,3.45,-27.98466093,-91.40074155,-6.23949796,0.87645686,3.44,3.445,3.455,-3.80246161,-3.77940521,-3.76938128,-3.7744111,0.29368449,0.49242977,0.70501768,0.92578743,-43.25802055,-42.198297,-41.11541926,-40.00807659,-7.26056901,-7.25862872,-7.31216386,-7.41105122
45,3.455,-28.19649803,-93.00168759,-6.04837674,0.91526141,3.445,3.45,3.46,-3.77940521,-3.76938128,-3.7744111,-3.78770113,0.49242977,0.70501768,0.92578743,1.15073436,-42.198297,-41.11541926,-40.00807659,-38.88027252,-7.25862872,-7.31216386,-7.41105122,-7.558439
46,3.46,-28.38779146,-94.62995908,-5.92995246,0.95509076,3.45,3.455,3.465,-3.76938128,-3.7744111,-3.78770113,-3.81498096,0.70501768,0.92578743,1.15073436,1.38726894,-41.11541926,-40.00807659,-38.88027252,-37.73411964,-7.31216386,-7.41105122,-7.558439,-7.72419029
47,3.465,-28.57070264,-96.28134841,-5.848327,0.99846955,3.455,3.46,3.47,-3.7744111,-3.78770113,-3.81498096,-3.84200176,0.92578743,1.15073436,1.38726894,1.62070407,-40.00807659,-38.88027252,-37.73411964,-36.546727,-7.41105122,-7.558439,-7.72419029,-7.98617917
48,3.47,-28.75555714,-97.94817422,-5.80767412,1.04466321,3.46,3.465,3.475,-3.78770113,-3.81498096,-3.84200176,-3.87589226,1.15073436,1.38726894,1.62070407,1.84881402,-38.88027252,-37.73411964,-36.546727,-35.33104844,-7.558439,-7.72419029,-7.98617917,-8.2675201
49,3.475,-28.9525628,-99.6208095,-5.81355828,1.09252621,3.465,3.47,3.48,-3.81498096,-3.84200176,-3.87589226,-3.91579499,1.38726894,1.62070407,1.84881402,2.07546362,-37.73411964,-36.546727,-35.33104844,-34.08869754,-7.72419029,-7.98617917,-8.2675201,-8.59234085
50,3.48,-29.1700257,-101.28793539,-5.87098994,1.14065992,3.47,3.475,3.485,-3.84200176,-3.87589226,-3.91579499,-3.96469032,1.62070407,1.84881402,2.07546362,2.30133504,-36.546727,-35.33104844,-34.08869754,-32.79502994,-7.98617917,-8.2675201,-8.59234085,-8.9710125
51,3.485,-29.412727,-102.93739959,-5.98450199,1.18744424,3.475,3.48,3.49,-3.87589226,-3.91579499,-3.96469032,-4.00815107,1.84881402,2.07546362,2.30133504,2.50956435,-35.33104844,-34.08869754,-32.79502994,-31.48498186,-8.2675201,-8.59234085,-8.9710125,-9.40127867
52,3.49,-29.6866444,-104.56134875,-6.15827049,1.23108106,3.48,3.485,3.495,-3.91579499,-3.96469032,-4.00815107,-4.04166667,2.07546362,2.30133504,2.50956435,2.69179352,-34.08869754,-32.79502994,-31.48498186,-30.14631913,-8.59234085,-8.9710125,-9.40127867,-9.87978265
53,3.495,-29.99914065,-106.15779188,-6.39639998,1.26965741,3.485,3.49,3.5,-3.96469032,-4.00815107,-4.04166667,-4.10476636,2.30133504,2.50956435,2.69179352,2.90764444,-32.79502994,-31.48498186,-30.14631913,-28.80038995,-8.9710125,-9.40127867,-9.87978265,-10.34290699
54,3.5,-30.35372089,-107.72640786,-6.70816602,1.30161159,3.49,3.495,3.505,-4.00815107,-4.04166667,-4.10476636,-4.15780371,2.50956435,2.69179352,2.90764444,3.10203042,-31.48498186,-30.14631913,-28.80038995,-27.42230074,-9.40127867,-9.87978265,-10.34290699,-10.84165398
55,3.505,-30.75016785,-109.26855662,-7.09129145,1.3245875,3.495,3.5,3.51,-4.04166667,-4.10476636,-4.15780371,-4.21364948,2.69179352,2.90764444,3.10203042,3.29179859,-30.14631913,-28.80038995,-27.42230074,-26.0275292,-9.87978265,-10.34290699,-10.84165398,-11.34755176
56,3.51,-31.18484493,-110.78832535,-7.54960452,1.33666601,3.5,3.505,3.515,-4.10476636,-4.15780371,-4.21364948,-4.26052344,2.90764444,3.10203042,3.29179859,3.46975997,-28.80038995,-27.42230074,-26.0275292,-24.65595358,-10.34290699,-10.84165398,-11.34755176,-11.81737153
57,3.515,-31.65154805,-112.29380078,-8.0870389,1.33605637,3.505,3.51,3.52,-4.15780371,-4.21364948,-4.26052344,-4.33388312,3.10203042,3.29179859,3.46975997,3.66700393,-27.42230074,-26.0275292,-24.65595358,-23.24617616,-10.84165398,-11.34755176,-11.81737153,-12.2773703
