,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l
12,3.29,0.30296375,-47.64297044,1.57093576,0.85862064,3.28,3.285,-11.42779282,-11.02743901,-10.60987967,-4.21611099,-4.1113784,-4.01476337,-63.40002809,-63.30976435,-63.17658687,-19.20225564,-18.52366934,-17.85548895,0.005,0.005,0.005,80.070762,83.511868,688.2212,20.946518,19.323006,-324.7024,18.052748,26.635496,1716.5496,135.71726,133.636078,-416.2364
13,3.295,-0.93965465,-48.7884352,1.37025119,0.85919844,3.285,3.29,-11.02743901,-10.60987967,-10.15710312,-4.1113784,-4.01476337,-3.95334152,-63.30976435,-63.17658687,-63.0060244,-18.52366934,-17.85548895,-17.19679646,0.005,0.005,0.005,83.511868,90.55531,1408.6884,19.323006,12.28437,-1407.7272,26.635496,34.112494,1495.3996,133.636078,131.738498,-379.516
14,3.3,-2.18579659,-49.95764927,1.03706794,0.85505609,3.29,3.295,-10.60987967,-10.15710312,-9.74594133,-4.01476337,-3.95334152,-3.85641891,-63.17658687,-63.0060244,-62.79350233,-17.85548895,-17.19679646,-16.56414395,0.005,0.005,0.005,90.55531,82.232358,-1664.5904,12.28437,19.384522,1420.0304,34.112494,42.504414,1678.384,131.738498,126.530502,-1041.5992
15,3.305,-3.44584276,-51.14896973,0.59655831,0.84753132,3.295,3.3,-10.15710312,-9.74594133,-9.35464397,-3.95334152,-3.85641891,-3.75705436,-63.0060244,-62.79350233,-62.53068435,-17.19679646,-16.56414395,-15.95199638,0.005,0.005,0.005,82.232358,78.259472,-794.5772,19.384522,19.87291,97.6776,42.504414,52.563596,2011.8364,126.530502,122.429514,-820.1976
16,3.31,-4.71732033,-52.36351506,0.0724255,0.8377504,3.3,3.305,-9.74594133,-9.35464397,-8.95091299,-3.85641891,-3.75705436,-3.67038348,-62.79350233,-62.53068435,-62.23355982,-16.56414395,-15.95199638,-15.35785819,0.005,0.005,0.005,78.259472,80.746196,497.3448,19.87291,17.334176,-507.7468,52.563596,59.424906,1372.262,122.429514,118.827638,-720.3752
17,3.315,-5.99293817,-53.60105333,-0.51357089,0.82661754,3.305,3.31,-9.35464397,-8.95091299,-8.55154931,-3.75705436,-3.67038348,-3.59081411,-62.53068435,-62.23355982,-61.90177612,-15.95199638,-15.35785819,-14.78021807,0.005,0.005,0.005,80.746196,79.872736,-174.692,17.334176,15.913874,-284.0604,59.424906,66.35674,1386.3668,118.827638,115.528024,-659.9228
18,3.32,-7.26024463,-54.86048813,-1.14189259,0.81482033,3.31,3.315,-8.95091299,-8.55154931,-8.17475281,-3.67038348,-3.59081411,-3.4945593,-62.23355982,-61.90177612,-61.5277379,-15.35785819,-14.78021807,-14.23016555,0.005,0.005,0.005,79.872736,75.3593,-902.6872,15.913874,19.250962,667.4176,66.35674,74.807644,1690.1808,115.528024,110.010504,-1103.504
19,3.325,-8.50585285,-56.14100721,-1.79533947,0.80284811,3.315,3.32,-8.55154931,-8.17475281,-7.79434814,-3.59081411,-3.4945593,-3.38219045,-61.90177612,-61.5277379,-61.11969738,-14.78021807,-14.23016555,-13.72445537,0.005,0.005,0.005,75.3593,76.080934,144.3268,19.250962,22.47377,644.5616,74.807644,81.608104,1360.092,110.010504,101.142036,-1773.6936
20,3.33,-9.71697183,-57.44075334,-2.45904766,0.79101918,3.32,3.325,-8.17475281,-7.79434814,-7.45958327,-3.4945593,-3.38219045,-3.30313777,-61.5277379,-61.11969738,-60.66929373,-14.23016555,-13.72445537,-13.17791365,0.005,0.005,0.005,76.080934,66.952974,-1825.592,22.47377,15.810536,-1332.6468,81.608104,90.08073,1694.5252,101.142036,109.308344,1633.2616
21,3.335,-10.88537926,-58.75814604,-3.12039394,0.779512,3.325,3.33,-7.79434814,-7.45958327,-7.12153343,-3.38219045,-3.30313777,-3.19481491,-61.11969738,-60.66929373,-60.18251993,-13.72445537,-13.17791365,-12.67461262,0.005,0.005,0.005,66.952974,67.609968,131.3988,15.810536,21.664572,1170.8072,90.08073,97.35476,1454.806,109.308344,100.660206,-1729.6276
22,3.34,-12.0098779,-60.09250756,-3.76047755,0.76929187,3.33,3.335,-7.45958327,-7.12153343,-6.78338687,-3.30313777,-3.19481491,-3.10686386,-60.66929373,-60.18251993,-59.67458343,-13.17791365,-12.67461262,-12.16760115,0.005,0.005,0.005,67.609968,67.629312,3.8688,21.664572,17.59021,-814.8724,97.35476,101.5873,846.508,100.660206,101.402294,148.4176
23,3.345,-13.09273632,-61.44248427,-4.36353896,0.76101713,3.335,3.34,-7.12153343,-6.78338687,-6.4839388,-3.19481491,-3.10686386,-2.98343105,-60.18251993,-59.67458343,-59.11644558,-12.67461262,-12.16760115,-11.68844777,0.005,0.005,0.005,67.629312,59.889614,-1547.9396,17.59021,24.686562,1419.2704,101.5873,111.62757,2008.054,101.402294,95.830676,-1114.3236
24,3.35,-14.14096321,-62.80535135,-4.92912995,0.75384454,3.34,3.345,-6.78338687,-6.4839388,-6.20125108,-3.10686386,-2.98343105,-2.82360179,-59.67458343,-59.11644558,-58.51186993,-12.16760115,-11.68844777,-11.26633006,0.005,0.005,0.005,59.889614,56.537544,-670.414,24.686562,31.965852,1455.858,111.62757,120.91513,1857.512,95.830676,84.423542,-2281.4268
25,3.355,-15.16215879,-64.17636054,-5.45090884,0.74770826,3.345,3.35,-6.4839388,-6.20125108,-5.96096362,-2.98343105,-2.82360179,-2.69602196,-59.11644558,-58.51186993,-57.87843718,-11.68844777,-11.26633006,-10.81987223,0.005,0.005,0.005,56.537544,48.057492,-1696.0104,31.965852,25.515966,-1289.9772,120.91513,126.68655,1154.284,84.423542,89.291566,973.6048
26,3.36,-16.16141044,-65.55295117,-5.92393024,0.74251608,3.35,3.355,-6.20125108,-5.96096362,-5.69471784,-2.82360179,-2.69602196,-2.57568857,-58.51186993,-57.87843718,-57.23168652,-11.26633006,-10.81987223,-10.38555527,0.005,0.005,0.005,48.057492,53.249156,1038.3328,25.515966,24.066678,-289.8576,126.68655,129.350132,532.7164,89.291566,86.863392,-485.6348
27,3.365,-17.13984712,-66.93253808,-6.34449158,0.73816606,3.355,3.36,-5.96096362,-5.69471784,-5.46695538,-2.69602196,-2.57568857,-2.42287657,-57.87843718,-57.23168652,-56.5391062,-10.81987223,-10.38555527,-9.99769949,0.005,0.005,0.005,53.249156,45.552492,-1539.3328,24.066678,30.5624,1299.1444,129.350132,138.516064,1833.1864,86.863392,77.571156,-1858.4472
28,3.37,-18.09723616,-68.31371624,-6.70998774,0.73456066,3.36,3.365,-5.69471784,-5.46695538,-5.27286725,-2.57568857,-2.42287657,-2.25768663,-57.23168652,-56.5391062,-55.80544623,-10.38555527,-9.99769949,-9.64298724,0.005,0.005,0.005,45.552492,38.817626,-1346.9732,30.5624,33.037988,495.1176,138.516064,146.731994,1643.186,77.571156,70.94245,-1325.7412
29,3.375,-19.03138827,-69.69483717,-7.01880641,0.7316191,3.365,3.37,-5.46695538,-5.27286725,-5.07662278,-2.42287657,-2.25768663,-2.09239093,-56.5391062,-55.80544623,-55.05427614,-9.99769949,-9.64298724,-9.32685811,0.005,0.005,0.005,38.817626,39.248894,86.2536,33.037988,33.05914,4.2304,146.731994,150.234018,700.4048,70.94245,63.225826,-1543.3248
30,3.38,-19.93706139,-71.07421064,-7.27026211,0.72928939,3.37,3.375,-5.27286725,-5.07662278,-4.86995002,-2.25768663,-2.09239093,-1.94637764,-55.80544623,-55.05427614,-54.29653395,-9.64298724,-9.32685811,-9.0175037,0.005,0.005,0.005,39.248894,41.334552,417.1316,33.05914,29.202658,-771.2964,150.234018,151.548438,262.884,63.225826,61.870882,-270.9888
31,3.385,-20.80786747,-72.45268898,-7.46454162,0.72756148,3.375,3.38,-5.07662278,-4.86995002,-4.71306941,-2.09239093,-1.94637764,-1.7741671,-55.05427614,-54.29653395,-53.49334337,-9.32685811,-9.0175037,-8.75235818,0.005,0.005,0.005,41.334552,31.376122,-1991.686,29.202658,34.442108,1047.89,151.548438,160.638116,1817.9356,61.870882,53.029104,-1768.3556
32,3.39,-21.63802705,-73.83223146,-7.60265378,0.72648112,3.38,3.385,-4.86995002,-4.71306941,-4.56150231,-1.94637764,-1.7741671,-1.59920081,-54.29653395,-53.49334337,-52.67168093,-9.0175037,-8.75235818,-8.51647215,0.005,0.005,0.005,31.376122,30.31342,-212.5404,34.442108,34.993258,110.23,160.638116,164.332488,738.8744,53.029104,47.177206,-1170.3796
33,3.395,-22.42518942,-75.21669668,-7.68639659,0.72616258,3.385,3.39,-4.71306941,-4.56150231,-4.43287599,-1.7741671,-1.59920081,-1.40277784,-53.49334337,-52.67168093,-51.81845673,-8.75235818,-8.51647215,-8.32188802,0.005,0.005,0.005,30.31342,25.725264,-917.6312,34.993258,39.284594,858.2672,164.332488,170.64484,1262.4704,47.177206,38.916826,-1652.076
34,3.4,-23.16974348,-76.61087381,-7.71834172,0.72679874,3.39,3.395,-4.56150231,-4.43287599,-4.28564828,-1.59920081,-1.40277784,-1.25245418,-52.67168093,-51.81845673,-50.95404858,-8.51647215,-8.32188802,-8.09042627,0.005,0.005,0.005,25.725264,29.445542,744.0556,39.284594,30.064732,-1843.9724,170.64484,172.88163,447.358,38.916826,46.29235,1475.1048
35,3.405,-23.87190316,-78.01736465,-7.70181952,0.72866679,3.395,3.4,-4.43287599,-4.28564828,-4.19790513,-1.40277784,-1.25245418,-1.04099666,-51.81845673,-50.95404858,-50.07229148,-8.32188802,-8.09042627,-7.94456796,0.005,0.005,0.005,29.445542,17.54863,-2379.3824,30.064732,42.291504,2445.3544,172.88163,176.35142,693.958,46.29235,29.171662,-3424.1376
36,3.41,-24.5330032,-79.43834983,-7.64089764,0.73212867,3.4,3.405,-4.28564828,-4.19790513,-4.12020193,-1.25245418,-1.04099666,-0.86230935,-50.95404858,-50.07229148,-49.14818088,-8.09042627,-7.94456796,-7.81350601,0.005,0.005,0.005,17.54863,15.54064,-401.598,42.291504,35.737462,-1310.8084,176.35142,184.82212,1694.14,29.171662,26.21239,-591.8544
37,3.415,-25.1518356,-80.87440677,-7.54035371,0.73762548,3.405,3.41,-4.19790513,-4.12020193,-4.027971,-1.04099666,-0.86230935,-0.6928491,-50.07229148,-49.14818088,-48.22301246,-7.94456796,-7.81350601,-7.66441798,0.005,0.005,0.005,15.54064,18.446186,581.1092,35.737462,33.89205,-369.0824,184.82212,185.033684,42.3128,26.21239,29.817606,721.0432
38,3.42,-25.72291665,-82.32382167,-7.40562739,0.74566444,3.41,3.415,-4.12020193,-4.027971,-3.96290296,-0.86230935,-0.6928491,-0.48415457,-49.14818088,-48.22301246,-47.27241567,-7.81350601,-7.66441798,-7.53133737,0.005,0.005,0.005,18.446186,13.013608,-1086.5156,33.89205,41.738906,1569.3712,185.033684,190.119358,1017.1348,29.817606,26.616122,-640.2968
39,3.425,-26.24079562,-83.78638605,-7.24273557,0.75679599,3.415,3.42,-4.027971,-3.96290296,-3.9038857,-0.6928491,-0.48415457,-0.30025418,-48.22301246,-47.27241567,-46.29822574,-7.66441798,-7.53133737,-7.42391812,0.005,0.005,0.005,13.013608,11.803452,-242.0312,41.738906,36.780078,-991.7656,190.119358,194.837986,943.7256,26.616122,21.48385,-1026.4544
40,3.43,-26.70257324,-85.26536867,-7.05815154,0.77158101,3.42,3.425,-3.96290296,-3.9038857,-3.85759384,-0.48415457,-0.30025418,-0.10386248,-47.27241567,-46.29822574,-45.30655188,-7.53133737,-7.42391812,-7.3325577,0.005,0.005,0.005,11.803452,9.258372,-509.016,36.780078,39.27834,499.6524,194.837986,198.334772,699.3572,21.48385,18.272084,-642.3532
41,3.435,-27.10558657,-86.76353313,-6.8586547,0.79055025,3.425,3.43,-3.9038857,-3.85759384,-3.81891862,-0.30025418,-0.10386248,0.08844883,-46.29822574,-45.30655188,-44.29220802,-7.42391812,-7.3325577,-7.27106965,0.005,0.005,0.005,9.258372,7.735044,-304.6656,39.27834,38.462262,-163.2156,198.334772,202.868772,906.8,18.272084,12.29761,-1194.8948
42,3.44,-27.44943645,-88.28342335,-6.65116012,0.814159,3.43,3.435,-3.85759384,-3.81891862,-3.80246161,-0.10386248,0.08844883,0.29368449,-45.30655188,-44.29220802,-43.25802055,-7.3325577,-7.27106965,-7.26056901,0.005,0.005,0.005,7.735044,3.291402,-888.7284,38.462262,41.047132,516.974,202.868772,206.837494,793.7444,12.29761,2.100128,-2039.4964
43,3.445,-27.73941434,-89.82830954,-6.44254617,0.84273998,3.435,3.44,-3.81891862,-3.80246161,-3.77940521,0.08844883,0.29368449,0.49242977,-44.29220802,-43.25802055,-42.198297,-7.27106965,-7.26056901,-7.25862872,0.005,0.005,0.005,3.291402,4.61128,263.9756,41.047132,39.749056,-259.6152,206.837494,211.94471,1021.4432,2.100128,0.388058,-342.414
44,3.45,-27.98466093,-91.40074155,-6.23949796,0.87645686,3.44,3.445,-3.80246161,-3.77940521,-3.76938128,0.29368449,0.49242977,0.70501768,-43.25802055,-42.198297,-41.11541926,-7.26056901,-7.25862872,-7.31216386,0.005,0.005,0.005,4.61128,2.004786,-521.2988,39.749056,42.517582,553.7052,211.94471,216.575548,926.1676,0.388058,-10.707028,-2219.0172
