,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l,knee_r_sin,knee_r_sin2,knee_r_cos,knee_r_cos2,ankle_r_sin,ankle_r_sin2,ankle_r_cos,ankle_r_cos2,knee_l_sin,knee_l_sin2,knee_l_cos,knee_l_cos2,ankle_l_sin,ankle_l_sin2,ankle_l_cos,ankle_l_cos2,knee_angle_r_^2,knee_angle_r_^3,ankle_angle_r_^2,ankle_angle_r_^3,knee_angle_l_^2,knee_angle_l_^3,ankle_angle_l_^2,ankle_angle_l_^3,knee_angle_r_tan,ankle_angle_r_tan,knee_angle_l_tan,ankle_angle_l_tan
10,3.28,2.82160576,-45.42060148,1.47102355,0.83708054,3.27,3.275,-12.26158701,-11.86257593,-11.42779282,-4.4166253,-4.28154013,-4.21611099,-63.4319657,-63.43916263,-63.40002809,-20.55366581,-19.88027462,-19.20225564,0.005,0.005,0.005,79.802216,86.956622,1430.8812,27.017034,13.085828,-2786.2412,-1.439386,7.826908,1853.2588,134.678238,135.603796,185.1116,-0.198132823,-0.388409752,0.98017518,0.921486769,-0.073518629,-0.146639352,0.997293844,0.989190022,-0.894154456,-0.800730784,0.447758649,-0.599024384,-0.328903825,-0.621209484,0.944363423,0.783644548,130.5944487,-1492.406304,17.77559188,-74.94386828,4019.563562,-254840.4427,368.7266217,-7080.38285,-0.202140217,-0.073718122,-1.996956301,-0.348280987
11,3.285,1.5543478,-46.52139119,1.61315706,0.85180123,3.275,3.28,-11.86257593,-11.42779282,-11.02743901,-4.28154013,-4.21611099,-4.1113784,-63.43916263,-63.40002809,-63.30976435,-19.88027462,-19.20225564,-18.52366934,0.005,0.005,0.005,86.956622,80.070762,-1377.172,13.085828,20.946518,1572.138,7.826908,18.052748,2045.168,135.603796,135.71726,22.6928,-0.191279076,-0.37549448,0.981535692,0.92682463,-0.071695525,-0.143022043,0.997426565,0.989719503,-0.893447948,-0.802614211,0.449166744,-0.596498473,-0.317696389,-0.602474663,0.948192493,0.798138008,121.6044111,-1340.985227,16.90343235,-69.49640664,4008.126262,-253753.5291,343.1263258,-6355.958601,-0.194877351,-0.071880505,-1.989123106,-0.33505474
12,3.29,0.30296375,-47.64297044,1.57093576,0.85862064,3.28,3.285,-11.42779282,-11.02743901,-10.60987967,-4.21611099,-4.1113784,-4.01476337,-63.40002809,-63.30976435,-63.17658687,-19.20225564,-18.52366934,-17.85548895,0.005,0.005,0.005,80.070762,83.511868,688.2212,20.946518,19.323006,-324.7024,18.052748,26.635496,1716.5496,135.71726,133.636078,-416.2364,-0.184120838,-0.361946075,0.982903615,0.932199034,-0.070013513,-0.139683406,0.997546043,0.990196216,-0.892401499,-0.805378513,0.451242246,-0.592760871,-0.306617265,-0.583696796,0.951832891,0.811971705,112.5695466,-1194.349344,16.11832492,-64.71126046,3991.281129,-252155.5189,318.8184856,-5692.659947,-0.187323391,-0.070185746,-1.977655034,-0.322133505
13,3.295,-0.93965465,-48.7884352,1.37025119,0.85919844,3.285,3.29,-11.02743901,-10.60987967,-10.15710312,-4.1113784,-4.01476337,-3.95334152,-63.30976435,-63.17658687,-63.0060244,-18.52366934,-17.85548895,-17.19679646,0.005,0.005,0.005,83.511868,90.55531,1408.6884,19.323006,12.28437,-1407.7272,26.635496,34.112494,1495.3996,133.636078,131.738498,-379.516,-0.176347832,-0.347168186,0.984327914,0.937802885,-0.06894409,-0.137560079,0.997620525,0.990493425,-0.891054254,-0.80889337,0.453896812,-0.587955368,-0.295654638,-0.564874732,0.955294894,0.82517667,103.1667438,-1047.875255,15.62890917,-61.78641555,3969.759111,-250118.7394,295.7298085,-5085.605324,-0.179155573,-0.069108532,-1.963120761,-0.309490441
14,3.3,-2.18579659,-49.95764927,1.03706794,0.85505609,3.29,3.295,-10.60987967,-10.15710312,-9.74594133,-4.01476337,-3.95334152,-3.85641891,-63.17658687,-63.0060244,-62.79350233,-17.85548895,-17.19679646,-16.56414395,0.005,0.005,0.005,90.55531,82.232358,-1664.5904,12.28437,19.384522,1420.0304,34.112494,42.504414,1678.384,131.738498,126.530502,-1041.5992,-0.169279689,-0.333673308,0.985568053,0.942688773,-0.067256399,-0.134208224,0.997735725,0.990953154,-0.88936453,-0.813232772,0.457198789,-0.581938535,-0.285088587,-0.54651549,0.958501172,0.837448995,94.98337241,-925.7023748,14.87196681,-57.35253403,3943.023935,-247596.2826,274.3708648,-4544.7185,-0.171758499,-0.067409032,-1.945246907,-0.297431652
15,3.305,-3.44584276,-51.14896973,0.59655831,0.84753132,3.295,3.3,-10.15710312,-9.74594133,-9.35464397,-3.95334152,-3.85641891,-3.75705436,-63.0060244,-62.79350233,-62.53068435,-17.19679646,-16.56414395,-15.95199638,0.005,0.005,0.005,82.232358,78.259472,-794.5772,19.384522,19.87291,97.6776,42.504414,52.563596,2011.8364,126.530502,122.429514,-820.1976,-0.162544929,-0.320766534,0.986701143,0.947158292,-0.065525987,-0.130770325,0.997850863,0.99141269,-0.887257992,-0.818537225,0.461273515,-0.574453489,-0.274831894,-0.528497496,0.961492293,0.84893486,87.50936381,-818.6189424,14.11545746,-53.03254101,3910.086485,-244500.3838,254.4661885,-4059.243718,-0.164735726,-0.065667115,-1.923496503,-0.285838894
16,3.31,-4.71732033,-52.36351506,0.0724255,0.8377504,3.3,3.305,-9.74594133,-9.35464397,-8.95091299,-3.85641891,-3.75705436,-3.67038348,-62.79350233,-62.53068435,-62.23355982,-16.56414395,-15.95199638,-15.35785819,0.005,0.005,0.005,78.259472,80.746196,497.3448,19.87291,17.334176,-507.7468,52.563596,59.424906,1372.262,122.429514,118.827638,-720.3752,-0.155588226,-0.307386944,0.987822,0.951584608,-0.064016471,-0.127770327,0.997948842,0.991803783,-0.884854,-0.824451097,0.465868435,-0.565933202,-0.264846941,-0.510778758,0.964290464,0.859712196,80.11884335,-717.1367957,13.47171489,-49.44635978,3873.015968,-241031.5709,235.8638082,-3622.362918,-0.157506338,-0.064148049,-1.899364569,-0.274654734
17,3.315,-5.99293817,-53.60105333,-0.51357089,0.82661754,3.305,3.31,-9.35464397,-8.95091299,-8.55154931,-3.75705436,-3.67038348,-3.59081411,-62.53068435,-62.23355982,-61.90177612,-15.95199638,-15.35785819,-14.78021807,0.005,0.005,0.005,80.746196,79.872736,-174.692,17.334176,15.913874,-284.0604,59.424906,66.35674,1386.3668,118.827638,115.528024,-659.9228,-0.148699174,-0.294092015,0.988882478,0.955777111,-0.062630511,-0.125015107,0.998036782,0.992154838,-0.882141467,-0.830949978,0.470984536,-0.556347134,-0.255111937,-0.493341346,0.966911526,0.869835799,73.1289956,-625.3662119,12.89394597,-46.29976313,3831.829887,-237197.0758,218.4548462,-3228.810265,-0.150370926,-0.06275371,-1.872973313,-0.263842069
18,3.32,-7.26024463,-54.86048813,-1.14189259,0.81482033,3.31,3.315,-8.95091299,-8.55154931,-8.17475281,-3.67038348,-3.59081411,-3.4945593,-62.23355982,-61.90177612,-61.5277379,-15.35785819,-14.78021807,-14.23016555,0.005,0.005,0.005,79.872736,75.3593,-902.6872,15.913874,19.250962,667.4176,66.35674,74.807644,1690.1808,115.528024,110.010504,-1103.504,-0.142192778,-0.28149591,0.989838984,0.959562428,-0.060953758,-0.121680841,0.998140591,0.992569279,-0.879048011,-0.838142836,0.476733253,-0.54545081,-0.245817753,-0.476550194,0.969316064,0.879147264,66.8265835,-546.2908013,12.2119447,-42.67536493,3785.662531,-232923.252,202.4976116,-2881.574536,-0.143652433,-0.061067307,-1.843899087,-0.253599174
19,3.325,-8.50585285,-56.14100721,-1.79533947,0.80284811,3.315,3.32,-8.55154931,-8.17475281,-7.79434814,-3.59081411,-3.4945593,-3.38219045,-61.90177612,-61.5277379,-61.11969738,-14.78021807,-14.23016555,-13.72445537,0.005,0.005,0.005,75.3593,76.080934,144.3268,19.250962,22.47377,644.5616,74.807644,81.608104,1360.092,110.010504,101.142036,-1773.6936,-0.135617841,-0.268729796,0.990761223,0.963215602,-0.058996083,-0.117786648,0.998258214,0.993038924,-0.87563062,-0.845826577,0.482981384,-0.533457966,-0.237252808,-0.460957504,0.971447943,0.887422211,60.75186293,-473.5211698,11.43921224,-38.68959439,3735.617408,-228319.8055,188.3606752,-2585.14768,-0.136882467,-0.05909902,-1.812969711,-0.244225961
