time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev,ankle_angle_l,delta_t,knee_angular_vel_r,ankle_angular_vel_r,knee_angular_vel_l,ankle_angular_vel_l
3.335,-10.88537926,-58.75814604,-3.12039394,0.779512,3.33,-7.45958327,-7.12153343,-3.30313777,-3.19481491,-60.66929373,-60.18251993,-13.17791365,-12.67461262,0.005,67.609968,21.664572,97.35476,100.660206
3.34,-12.0098779,-60.09250756,-3.76047755,0.76929187,3.335,-7.12153343,-6.78338687,-3.19481491,-3.10686386,-60.18251993,-59.67458343,-12.67461262,-12.16760115,0.005,67.629312,17.59021,101.5873,101.402294
3.345,-13.09273632,-61.44248427,-4.36353896,0.76101713,3.34,-6.78338687,-6.4839388,-3.10686386,-2.98343105,-59.67458343,-59.11644558,-12.16760115,-11.68844777,0.005,59.889614,24.686562,111.62757,95.830676
3.35,-14.14096321,-62.80535135,-4.92912995,0.75384454,3.345,-6.4839388,-6.20125108,-2.98343105,-2.82360179,-59.11644558,-58.51186993,-11.68844777,-11.26633006,0.005,56.537544,31.965852,120.91513,84.423542
3.355,-15.16215879,-64.17636054,-5.45090884,0.74770826,3.35,-6.20125108,-5.96096362,-2.82360179,-2.69602196,-58.51186993,-57.87843718,-11.26633006,-10.81987223,0.005,48.057492,25.515966,126.68655,89.291566
3.36,-16.16141044,-65.55295117,-5.92393024,0.74251608,3.355,-5.96096362,-5.69471784,-2.69602196,-2.57568857,-57.87843718,-57.23168652,-10.81987223,-10.38555527,0.005,53.249156,24.066678,129.350132,86.863392
3.365,-17.13984712,-66.93253808,-6.34449158,0.73816606,3.36,-5.69471784,-5.46695538,-2.57568857,-2.42287657,-57.23168652,-56.5391062,-10.38555527,-9.99769949,0.005,45.552492,30.5624,138.516064,77.571156
3.37,-18.09723616,-68.31371624,-6.70998774,0.73456066,3.365,-5.46695538,-5.27286725,-2.42287657,-2.25768663,-56.5391062,-55.80544623,-9.99769949,-9.64298724,0.005,38.817626,33.037988,146.731994,70.94245
3.375,-19.03138827,-69.69483717,-7.01880641,0.7316191,3.37,-5.27286725,-5.07662278,-2.25768663,-2.09239093,-55.80544623,-55.05427614,-9.64298724,-9.32685811,0.005,39.248894,33.05914,150.234018,63.225826
3.38,-19.93706139,-71.07421064,-7.27026211,0.72928939,3.375,-5.07662278,-4.86995002,-2.09239093,-1.94637764,-55.05427614,-54.29653395,-9.32685811,-9.0175037,0.005,41.334552,29.202658,151.548438,61.870882
