,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,2.98,-14.05394535,0.6425766,66.91999271,-16.44035428,2.97,2.975,-59.09783862,-59.83925583,-60.48663359,-17.91754779,-17.9428324,-17.82187301,-22.56322317,-22.17834358,-21.8001802,-2.40408598,-2.22883035,-2.0313907
1,2.985,-10.78831516,0.83891051,64.03264863,-18.01077221,2.975,2.98,-59.83925583,-60.48663359,-61.01672367,-17.9428324,-17.82187301,-17.59213895,-22.17834358,-21.8001802,-21.40979816,-2.22883035,-2.0313907,-1.84103971
2,2.99,-7.69117798,1.01948308,61.12666904,-19.52593413,2.98,2.985,-60.48663359,-61.01672367,-61.43514164,-17.82187301,-17.59213895,-17.2375071,-21.8001802,-21.40979816,-21.01381286,-2.0313907,-1.84103971,-1.65652698
3,2.995,-4.82468716,1.18043788,58.21356631,-20.98214967,2.985,2.99,-61.01672367,-61.43514164,-61.74077488,-17.59213895,-17.2375071,-16.79540713,-21.40979816,-21.01381286,-20.60809099,-1.84103971,-1.65652698,-1.47827544
4,3.0,-2.2391373,1.3190959,55.308022,-22.37572841,2.99,2.995,-61.43514164,-61.74077488,-61.93606501,-17.2375071,-16.79540713,-16.27627357,-21.01381286,-20.60809099,-20.19665594,-1.65652698,-1.47827544,-1.30841959
5,3.005,0.0282867,1.43391923,52.42068545,-23.70460045,2.995,3.0,-61.74077488,-61.93606501,-62.02456246,-16.79540713,-16.27627357,-15.69207808,-20.60809099,-20.19665594,-19.77440334,-1.47827544,-1.30841959,-1.14706725
6,3.01,1.95451666,1.52449107,49.55237332,-24.96816265,3.0,3.005,-61.93606501,-62.02456246,-62.01168366,-16.27627357,-15.69207808,-15.05515135,-20.19665594,-19.77440334,-19.33967882,-1.30841959,-1.14706725,-0.97739829
7,3.015,3.53053953,1.59142831,46.70703678,-26.16747321,3.005,3.01,-62.02456246,-62.01168366,-61.87868869,-15.69207808,-15.05515135,-14.44181967,-19.77440334,-19.33967882,-18.8711534,-1.14706725,-0.97739829,-0.80323963
8,3.02,4.76034282,1.63623865,43.88701041,-27.3054772,3.01,3.015,-62.01168366,-61.87868869,-61.69954791,-15.05515135,-14.44181967,-13.72978043,-19.33967882,-18.8711534,-18.42382311,-0.97739829,-0.80323963,-0.5991905
9,3.025,5.65906144,1.6611361,41.09485451,-28.38719238,3.015,3.02,-61.87868869,-61.69954791,-61.42786543,-14.44181967,-13.72978043,-13.00842739,-18.8711534,-18.42382311,-17.94317092,-0.80323963,-0.5991905,-0.4326955
10,3.03,6.25060527,1.6688314,38.33786369,-29.41837071,3.02,3.025,-61.69954791,-61.42786543,-61.07378831,-13.72978043,-13.00842739,-12.30986621,-18.42382311,-17.94317092,-17.44332937,-0.5991905,-0.4326955,-0.27969622
11,3.035,6.56501946,1.66231586,35.62787394,-30.40462372,3.025,3.03,-61.42786543,-61.07378831,-60.65503251,-13.00842739,-12.30986621,-11.62024097,-17.94317092,-17.44332937,-16.92975641,-0.4326955,-0.27969622,-0.11609014
12,3.04,6.63577058,1.64465617,32.98269164,-31.35047446,3.03,3.035,-61.07378831,-60.65503251,-60.16826259,-12.30986621,-11.62024097,-10.94607929,-17.44332937,-16.92975641,-16.40821071,-0.27969622,-0.11609014,0.0426008
13,3.045,6.49791821,1.6189056,30.41775752,-32.25969912,3.035,3.04,-60.65503251,-60.16826259,-59.61753086,-11.62024097,-10.94607929,-10.31289957,-16.92975641,-16.40821071,-15.87939527,-0.11609014,0.0426008,0.19803511
14,3.05,6.19004258,1.58843027,27.94365709,-33.13552669,3.04,3.045,-60.16826259,-59.61753086,-59.00738618,-10.94607929,-10.31289957,-9.72883106,-16.40821071,-15.87939527,-15.3446174,0.0426008,0.19803511,0.34175663
15,3.055,5.74201781,1.55562509,25.56976348,-33.98028522,3.045,3.05,-59.61753086,-59.00738618,-58.33844142,-10.31289957,-9.72883106,-9.18973539,-15.87939527,-15.3446174,-14.8140157,0.19803511,0.34175663,0.47383303
16,3.06,5.18110964,1.52274111,23.30019743,-34.79749606,3.05,3.055,-59.00738618,-58.33844142,-57.61229652,-9.72883106,-9.18973539,-8.67657203,-15.3446174,-14.8140157,-14.25307862,0.34175663,0.47383303,0.54892566
17,3.065,4.52938279,1.49165625,21.13960578,-35.59203597,3.055,3.06,-58.33844142,-57.61229652,-56.84412296,-9.18973539,-8.67657203,-8.18698476,-14.8140157,-14.25307862,-13.74358832,0.47383303,0.54892566,0.6588206
18,3.07,3.80347154,1.46389751,19.08899861,-36.37123646,3.06,3.065,-57.61229652,-56.84412296,-56.01502555,-8.67657203,-8.18698476,-7.76361279,-14.25307862,-13.74358832,-13.27843778,0.54892566,0.6588206,0.79904555
19,3.075,3.01483011,1.44068322,17.14886064,-37.14347764,3.065,3.07,-56.84412296,-56.01502555,-55.11572823,-8.18698476,-7.76361279,-7.37022198,-13.74358832,-13.27843778,-12.80686189,0.6588206,0.79904555,0.91648893
20,3.08,2.17037936,1.42297375,15.32213479,-37.91711565,3.07,3.075,-56.01502555,-55.11572823,-54.16114508,-7.76361279,-7.37022198,-6.9809228,-13.27843778,-12.80686189,-12.34481829,0.79904555,0.91648893,1.02710898
21,3.085,1.27350427,1.41152008,13.60994269,-38.70178908,3.075,3.08,-55.11572823,-54.16114508,-53.15975445,-7.37022198,-6.9809228,-6.5721125,-12.80686189,-12.34481829,-11.87674355,0.91648893,1.02710898,1.11984998
22,3.09,0.32533378,1.40689867,12.01129592,-39.50926226,3.08,3.085,-54.16114508,-53.15975445,-52.07461308,-6.9809228,-6.5721125,-6.20305153,-12.34481829,-11.87674355,-11.47569006,1.02710898,1.11984998,1.23714591
23,3.095,-0.67384164,1.40952327,10.52315668,-40.35353036,3.085,3.09,-53.15975445,-52.07461308,-50.92108254,-6.5721125,-6.20305153,-5.84622889,-11.87674355,-11.47569006,-11.06592824,1.11984998,1.23714591,1.34891502
24,3.1,-1.72319193,1.41962902,9.14040593,-41.2503467,3.09,3.095,-52.07461308,-50.92108254,-49.70186398,-6.20305153,-5.84622889,-5.48659431,-11.47569006,-11.06592824,-10.67197268,1.23714591,1.34891502,1.46557659
25,3.105,-2.82015943,1.43722971,7.85393837,-42.21658863,3.095,3.1,-50.92108254,-49.70186398,-48.40759685,-5.84622889,-5.48659431,-5.14261201,-11.06592824,-10.67197268,-10.30044945,1.34891502,1.46557659,1.59188023
26,3.11,-3.95959774,1.46205203,6.65131807,-43.26898045,3.1,3.105,-49.70186398,-48.40759685,-47.04208338,-5.48659431,-5.14261201,-4.80995041,-10.67197268,-10.30044945,-9.94734513,1.46557659,1.59188023,1.72875694
