,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,4.5,-3.63476606,0.54682459,46.0254792,-12.50361545,4.48,4.49,-58.90317171,-60.2314651,-61.2318891,-22.53583248,-21.08407297,-19.64256602,-23.0808702,-22.4303233,-21.67396946,-2.23653319,-1.5933722,-1.06768546
1,4.51,-0.84355178,0.6516097,41.72092253,-15.31598039,4.49,4.5,-60.2314651,-61.2318891,-61.91850227,-21.08407297,-19.64256602,-18.16968187,-22.4303233,-21.67396946,-20.87083125,-1.5933722,-1.06768546,-0.57730468
2,4.52,1.22433218,0.71654168,37.68290312,-18.0286455,4.5,4.51,-61.2318891,-61.91850227,-62.30477076,-19.64256602,-18.16968187,-16.66461684,-21.67396946,-20.87083125,-20.01442134,-1.06768546,-0.57730468,-0.14627951
3,4.53,2.51128742,0.74744891,33.99794299,-20.64086964,4.51,4.52,-61.91850227,-62.30477076,-62.32386318,-18.16968187,-16.66461684,-15.17154865,-20.87083125,-20.01442134,-19.14162645,-0.57730468,-0.14627951,0.17738261
4,4.54,3.05520646,0.75356555,30.64252068,-23.18020696,4.52,4.53,-62.30477076,-62.32386318,-62.05110916,-16.66461684,-15.17154865,-13.6098474,-20.01442134,-19.14162645,-18.39948304,-0.14627951,0.17738261,0.61854186
5,4.55,2.97096449,0.74547985,27.53027003,-25.69166158,4.53,4.54,-62.32386318,-62.05110916,-61.45663058,-15.17154865,-13.6098474,-12.13120662,-19.14162645,-18.39948304,-17.64361883,0.17738261,0.61854186,0.98380845
6,4.56,2.42125217,0.73325056,24.59757757,-28.2038929,4.54,4.55,-62.05110916,-61.45663058,-60.51921772,-13.6098474,-12.13120662,-10.94852069,-18.39948304,-17.64361883,-16.97661534,0.61854186,0.98380845,1.6211104
7,4.57,1.58435995,0.72512688,21.83516352,-30.7218068,4.55,4.56,-61.45663058,-60.51921772,-59.37704356,-12.13120662,-10.94852069,-9.75546435,-17.64361883,-16.97661534,-16.28441538,0.98380845,1.6211104,1.93068033
8,4.58,0.62532488,0.72693923,19.27127366,-33.23540711,4.56,4.57,-60.51921772,-59.37704356,-57.94792036,-10.94852069,-9.75546435,-8.78372844,-16.97661534,-16.28441538,-15.58748809,1.6211104,1.93068033,2.26821996
9,4.59,-0.33239429,0.74125744,16.90823227,-35.73311968,4.57,4.58,-59.37704356,-57.94792036,-56.37561801,-9.75546435,-8.78372844,-7.74931559,-16.28441538,-15.58748809,-14.92807241,1.93068033,2.26821996,2.78788674
10,4.6,-1.21394946,0.76809304,14.73290873,-38.20379735,4.58,4.59,-57.94792036,-56.37561801,-54.49466358,-8.78372844,-7.74931559,-7.11988658,-15.58748809,-14.92807241,-14.28569067,2.26821996,2.78788674,3.15273264
11,4.61,-1.99382769,0.8054297,12.70595687,-40.66493903,4.59,4.6,-56.37561801,-54.49466358,-52.39662039,-7.74931559,-7.11988658,-6.46021056,-14.92807241,-14.28569067,-13.60898371,2.78788674,3.15273264,3.52840546
12,4.62,-2.68900047,0.84990695,10.74396923,-43.15514779,4.6,4.61,-54.49466358,-52.39662039,-50.10174966,-7.11988658,-6.46021056,-5.79425664,-14.28569067,-13.60898371,-12.90714824,3.15273264,3.52840546,3.90136665
13,4.63,-3.34859722,0.897297,8.73771126,-45.70892434,4.61,4.62,-52.39662039,-50.10174966,-47.63410031,-6.46021056,-5.79425664,-5.11893611,-13.60898371,-12.90714824,-12.19035134,3.52840546,3.90136665,4.27944009
14,4.64,-4.04247001,0.94261356,6.61239975,-48.34028924,4.62,4.63,-50.10174966,-47.63410031,-44.99830775,-5.79425664,-5.11893611,-4.46076446,-12.90714824,-12.19035134,-11.43340804,3.90136665,4.27944009,4.65751845
15,4.65,-4.85028014,0.97994739,4.41703555,-51.04351728,4.63,4.64,-47.63410031,-44.99830775,-42.2937311,-5.11893611,-4.46076446,-3.85116341,-12.19035134,-11.43340804,-10.77295611,4.27944009,4.65751845,5.05961282
16,4.66,-5.79598574,1.0059411,2.29645809,-53.80470639,4.64,4.65,-44.99830775,-42.2937311,-39.39031578,-4.46076446,-3.85116341,-3.43141646,-11.43340804,-10.77295611,-10.11367336,4.65751845,5.05961282,5.43233477
