,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,4.975,7.32122136,-71.55847277,-11.49253857,0.26395504,4.965,4.97,-24.10361173,-23.77223346,-23.40067509,21.12449658,21.2777544,21.35763526,-65.31769048,-66.00882662,-66.62501772,-15.4046293,-14.14954741,-12.8830482
1,4.98,5.26322376,-72.51099477,-9.38977181,0.31839115,4.97,4.975,-23.77223346,-23.40067509,-23.01138274,21.2777544,21.35763526,21.40212865,-66.00882662,-66.62501772,-67.16111726,-14.14954741,-12.8830482,-11.6598213
2,4.985,3.27283521,-73.35944487,-7.38792749,0.36541817,4.975,4.98,-23.40067509,-23.01138274,-22.60632225,21.35763526,21.40212865,21.43276302,-66.62501772,-67.16111726,-67.61630114,-12.8830482,-11.6598213,-10.48672173
3,4.99,1.34786157,-74.09609503,-5.52096109,0.40556109,4.98,4.985,-23.01138274,-22.60632225,-22.18200785,21.40212865,21.43276302,21.43506661,-67.16111726,-67.61630114,-67.99000445,-11.6598213,-10.48672173,-9.36045494
4,4.995,-0.51576321,-74.71831997,-3.81661723,0.43973538,4.985,4.99,-22.60632225,-22.18200785,-21.73938871,21.43276302,21.43506661,21.40863784,-67.61630114,-67.99000445,-68.28036884,-10.48672173,-9.36045494,-8.29417294
5,5.0,-2.32342509,-75.22716858,-2.29586171,0.46911609,4.99,4.995,-22.18200785,-21.73938871,-21.27872621,21.43506661,21.40863784,21.35070051,-67.99000445,-68.28036884,-68.48791986,-9.36045494,-8.29417294,-7.28899874
6,5.005,-4.08143926,-75.62777405,-0.97271966,0.4949992,4.995,5.0,-21.73938871,-21.27872621,-20.804009,21.40863784,21.35070051,21.27717824,-68.28036884,-68.48791986,-68.61400446,-8.29417294,-7.28899874,-6.35325957
7,5.01,-5.79603191,-75.92914514,0.14555507,0.51867192,5.0,5.005,-21.27872621,-20.804009,-20.31238963,21.35070051,21.27717824,21.17594321,-68.48791986,-68.61400446,-68.65417977,-7.28899874,-6.35325957,-5.48640327
8,5.015,-7.46262786,-76.14062508,1.05804986,0.54130449,5.005,5.01,-20.804009,-20.31238963,-19.80929037,21.27717824,21.17594321,21.05314795,-68.61400446,-68.65417977,-68.616061,-6.35325957,-5.48640327,-4.68297496
9,5.02,-9.0883369,-76.27205561,1.76956944,0.56387167,5.01,5.015,-20.31238963,-19.80929037,-19.28743408,21.17594321,21.05314795,20.90274622,-68.65417977,-68.616061,-68.49687494,-5.48640327,-4.68297496,-3.93727253
10,5.025,-10.67855236,-76.33398984,2.28987941,0.58710731,5.015,5.02,-19.80929037,-19.28743408,-18.75188984,21.05314795,20.90274622,20.7323816,-68.616061,-68.49687494,-68.30379931,-4.68297496,-3.93727253,-3.23508802
11,5.03,-12.23363218,-76.33718962,2.63286987,0.61149121,5.02,5.025,-19.28743408,-18.75188984,-18.18359696,20.90274622,20.7323816,20.51030291,-68.49687494,-68.30379931,-68.03181722,-3.93727253,-3.23508802,-2.57979594
12,5.035,-13.75389806,-76.29063929,2.81568379,0.63726413,5.025,5.03,-18.75188984,-18.18359696,-17.62185997,20.7323816,20.51030291,20.32586276,-68.30379931,-68.03181722,-67.68899602,-3.23508802,-2.57979594,-1.92488525
13,5.04,-15.24071092,-76.20306538,2.85784968,0.66446424,5.03,5.035,-18.18359696,-17.62185997,-17.02634134,20.51030291,20.32586276,20.08474886,-68.03181722,-67.68899602,-67.27675628,-2.57979594,-1.92488525,-1.28727246
14,5.045,-16.69703917,-76.0827634,2.78044442,0.69297746,5.035,5.04,-17.62185997,-17.02634134,-16.39711936,20.32586276,20.08474886,19.78436546,-67.68899602,-67.27675628,-66.79514984,-1.92488525,-1.28727246,-0.66729383
15,5.05,-18.12797125,-75.93775202,2.60529037,0.72259439,5.04,5.045,-17.02634134,-16.39711936,-15.7672485,20.08474886,19.78436546,19.51946202,-67.27675628,-66.79514984,-66.23773131,-1.28727246,-0.66729383,-0.01776718
16,5.055,-19.53925142,-75.77375544,2.35419037,0.75306674,5.045,5.05,-16.39711936,-15.7672485,-15.11902679,19.78436546,19.51946202,19.23605327,-66.79514984,-66.23773131,-65.61140981,-0.66729383,-0.01776718,0.64497972
17,5.06,-20.93765503,-75.59381253,2.04821907,0.78415697,5.05,5.055,-15.7672485,-15.11902679,-14.45549581,19.51946202,19.23605327,18.94375966,-66.23773131,-65.61140981,-64.91467742,-0.01776718,0.64497972,1.32728743
18,5.065,-22.33099542,-75.40086712,1.70708733,0.8156773,5.055,5.06,-15.11902679,-14.45549581,-13.77948691,19.23605327,18.94375966,18.658331,-65.61140981,-64.91467742,-64.14921788,0.64497972,1.32728743,2.02347817
