,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,3.76,-1.41864605,6.79805238,-7.70970738,-90.70529814,3.75,3.755,-12.52774323,-12.97015642,-13.54812131,-2.57252532,-3.11904224,-3.87950011,-12.19377343,-12.79193996,-13.4054983,15.49061312,15.47232138,15.38880605
1,3.765,-0.09980156,8.40032293,-6.45341117,-89.47419353,3.755,3.76,-12.97015642,-13.54812131,-14.20090398,-3.11904224,-3.87950011,-4.77058586,-12.79193996,-13.4054983,-14.09206869,15.47232138,15.38880605,15.24479762
2,3.77,2.35399911,10.02515882,-5.19102748,-87.66659995,3.76,3.765,-13.54812131,-14.20090398,-14.96030234,-3.87950011,-4.77058586,-5.73447747,-13.4054983,-14.09206869,-14.83301968,15.38880605,15.24479762,15.02864243
3,3.775,5.79005495,11.55839267,-3.90859991,-85.26581758,3.765,3.77,-14.20090398,-14.96030234,-15.82351931,-4.77058586,-5.73447747,-6.70140712,-14.09206869,-14.83301968,-15.65016669,15.24479762,15.02864243,14.72713245
4,3.78,9.92845431,12.89515385,-2.57245546,-82.26761881,3.77,3.775,-14.96030234,-15.82351931,-16.78736794,-5.73447747,-6.70140712,-7.61249043,-14.83301968,-15.65016669,-16.53899238,15.02864243,14.72713245,14.33097804
5,3.785,14.43930458,13.95084532,-1.19537364,-78.69226578,3.775,3.78,-15.82351931,-16.78736794,-17.85023424,-6.70140712,-7.61249043,-8.40770855,-15.65016669,-16.53899238,-17.506378,14.72713245,14.33097804,13.83917888
6,3.79,19.02770538,14.67254802,0.21218649,-74.57780014,3.78,3.785,-16.78736794,-17.85023424,-18.9673601,-7.61249043,-8.40770855,-9.05994522,-16.53899238,-17.506378,-18.56877847,14.33097804,13.83917888,13.19817397
7,3.795,23.50167369,15.06560009,1.60281188,-69.97435293,3.785,3.79,-17.85023424,-18.9673601,-20.13752716,-8.40770855,-9.05994522,-9.54777368,-17.506378,-18.56877847,-19.72412818,13.83917888,13.19817397,12.43963414
8,3.8,27.98830423,15.12712834,2.90300699,-64.95562474,3.79,3.795,-18.9673601,-20.13752716,-21.28756264,-9.05994522,-9.54777368,-9.89405759,-18.56877847,-19.72412818,-20.98612827,13.19817397,12.43963414,11.59150366
9,3.805,32.46898628,14.90205801,4.11991188,-59.60228818,3.795,3.8,-20.13752716,-21.28756264,-22.45841654,-9.54777368,-9.89405759,-10.00710891,-19.72412818,-20.98612827,-22.27907874,12.43963414,11.59150366,10.42967241
10,3.81,36.91361604,14.44843041,5.18847085,-54.00929043,3.8,3.805,-21.28756264,-22.45841654,-23.51251316,-9.89405759,-10.00710891,-10.08921189,-20.98612827,-22.27907874,-23.79650392,11.59150366,10.42967241,9.30342374
11,3.815,41.28234117,13.82519035,6.03749366,-48.2782225,3.805,3.81,-22.45841654,-23.51251316,-24.46536854,-10.00710891,-10.08921189,-10.02033473,-22.27907874,-23.79650392,-25.32218753,10.42967241,9.30342374,7.87794902
12,3.82,45.53292546,13.08353613,6.6058191,-42.51406139,3.81,3.815,-23.51251316,-24.46536854,-25.34226836,-10.08921189,-10.02033473,-9.91454188,-23.79650392,-25.32218753,-26.95206298,9.30342374,7.87794902,6.32431053
13,3.825,49.63849202,12.26391461,6.82071831,-36.82949165,3.815,3.82,-24.46536854,-25.34226836,-26.09452413,-10.02033473,-9.91454188,-9.68863461,-25.32218753,-26.95206298,-28.70841762,7.87794902,6.32431053,4.66856653
14,3.83,53.57937169,11.39439999,6.66805917,-31.32343532,3.82,3.825,-25.34226836,-26.09452413,-26.70713635,-9.91454188,-9.68863461,-9.36858578,-26.95206298,-28.70841762,-30.54097464,6.32431053,4.66856653,2.8961624
15,3.835,57.33057111,10.49244574,6.24151825,-26.07581929,3.825,3.83,-26.09452413,-26.70713635,-27.22837824,-9.68863461,-9.36858578,-9.04534327,-28.70841762,-30.54097464,-32.45312861,4.66856653,2.8961624,1.03623398
16,3.84,60.85045972,9.5669417,5.69566798,-21.14829595,3.83,3.835,-26.70713635,-27.22837824,-27.63379147,-9.36858578,-9.04534327,-8.62931276,-30.54097464,-32.45312861,-34.41681897,2.8961624,1.03623398,-0.86857548
17,3.845,64.08466422,8.62152865,5.17888725,-16.58859805,3.835,3.84,-27.22837824,-27.63379147,-27.94601108,-9.04534327,-8.62931276,-8.16276767,-32.45312861,-34.41681897,-36.43504762,1.03623398,-0.86857548,-2.76486993
18,3.85,66.96726454,7.65712167,4.76115636,-12.45110955,3.84,3.845,-27.63379147,-27.94601108,-28.17602861,-8.62931276,-8.16276767,-7.60963937,-34.41681897,-36.43504762,-38.48862504,-0.86857548,-2.76486993,-4.5980127
19,3.855,69.43119133,6.6750761,4.58256895,-8.78180099,3.845,3.85,-27.94601108,-28.17602861,-28.30541943,-8.16276767,-7.60963937,-7.10548483,-36.43504762,-38.48862504,-40.56610097,-2.76486993,-4.5980127,-6.37540001
20,3.86,71.41630023,5.67742447,4.8369831,-5.60273029,3.85,3.855,-28.17602861,-28.30541943,-28.37462239,-7.60963937,-7.10548483,-6.50885851,-38.48862504,-40.56610097,-42.65940899,-4.5980127,-6.37540001,-7.98043504
21,3.865,72.88232122,4.66818531,5.28152681,3.157805,3.855,3.86,-28.30541943,-28.37462239,-28.35011165,-7.10548483,-6.50885851,-6.01295654,-40.56610097,-42.65940899,-44.7571455,-6.37540001,-7.98043504,-9.46162066
22,3.87,73.81211814,3.65312667,6.00380801,3.20958153,3.86,3.865,-28.37462239,-28.35011165,-28.26536073,-6.50885851,-6.01295654,-5.44644116,-42.65940899,-44.7571455,-46.81900638,-7.98043504,-9.46162066,-10.70903673
23,3.875,74.20897924,2.63884462,6.75969296,3.23848789,3.865,3.87,-28.35011165,-28.26536073,-28.10528345,-6.01295654,-5.44644116,-4.93108895,-44.7571455,-46.81900638,-48.86432391,-9.46162066,-10.70903673,-11.73945339
24,3.88,74.09362749,1.63247028,7.52611943,3.24375372,3.87,3.875,-28.26536073,-28.10528345,-27.89698803,-5.44644116,-4.93108895,-4.43638569,-46.81900638,-48.86432391,-50.86307212,-10.70903673,-11.73945339,-12.54559784
25,3.885,73.50408581,0.64183155,8.27842585,3.2249188,3.875,3.88,-28.10528345,-27.89698803,-27.60725566,-4.93108895,-4.43638569,-4.00921619,-48.86432391,-50.86307212,-52.8186224,-11.73945339,-12.54559784,-13.13469619
26,3.89,72.49056617,-0.32529756,8.99153203,3.18193269,3.88,3.885,-27.89698803,-27.60725566,-27.27326907,-4.43638569,-4.00921619,-3.54146873,-50.86307212,-52.8186224,-54.6563924,-12.54559784,-13.13469619,-13.47513867
27,3.895,71.1135275,-1.26152074,9.64104189,3.11525769,3.885,3.89,-27.60725566,-27.27326907,-26.8705148,-4.00921619,-3.54146873,-3.13595614,-52.8186224,-54.6563924,-56.42679788,-13.13469619,-13.47513867,-13.63877486
28,3.9,69.43652015,-2.16084162,10.20425182,3.02595296,3.89,3.895,-27.27326907,-26.8705148,-26.43520674,-3.54146873,-3.13595614,-2.74582065,-54.6563924,-56.42679788,-58.0901741,-13.47513867,-13.63877486,-13.62765069
29,3.905,67.52222678,-3.01848483,10.66103514,2.91572121,3.895,3.9,-26.8705148,-26.43520674,-25.94704706,-3.13595614,-2.74582065,-2.39625705,-56.42679788,-58.0901741,-59.65487863,-13.63877486,-13.62765069,-13.48428412
30,3.91,65.42979968,-3.83081965,10.94148679,2.78034589,3.9,3.905,-26.43520674,-25.94704706,-25.42732263,-2.74582065,-2.39625705,-2.06051385,-58.0901741,-59.65487863,-61.10043221,-13.62765069,-13.48428412,-13.24111028
31,3.915,63.21170785,-4.59584705,11.04926124,2.62224811,3.905,3.91,-25.94704706,-25.42732263,-24.87327514,-2.39625705,-2.06051385,-1.76052026,-59.65487863,-61.10043221,-62.43967815,-13.48428412,-13.24111028,-12.93447529
