,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,4.02,-11.03034949,0.50572714,55.66321021,-12.14095452,4.01,4.015,-64.89974161,-65.47511758,-65.97527119,-17.78006397,-17.12268244,-16.40252397,-20.58755119,-20.24833914,-19.87281187,1.71092794,1.86967834,2.02164637
1,4.025,-8.67639154,0.57893965,53.67011742,-13.07427461,4.015,4.02,-65.47511758,-65.97527119,-66.3736889,-17.12268244,-16.40252397,-15.69328919,-20.24833914,-19.87281187,-19.47044366,1.86967834,2.02164637,2.18597696
2,4.03,-6.42202879,0.64510426,51.61150503,-13.98531639,4.02,4.025,-65.97527119,-66.3736889,-66.67566326,-16.40252397,-15.69328919,-14.98581932,-19.87281187,-19.47044366,-19.04683408,2.02164637,2.18597696,2.33798919
3,4.035,-4.30572519,0.70340527,49.4951558,-14.87429561,4.025,4.03,-66.3736889,-66.67566326,-66.86068541,-15.69328919,-14.98581932,-14.40346174,-19.47044366,-19.04683408,-18.59266146,2.18597696,2.33798919,2.48162781
4,4.04,-2.35943549,0.75345878,47.32905885,-15.74238888,4.03,4.035,-66.67566326,-66.86068541,-66.96989153,-14.98581932,-14.40346174,-13.73003791,-19.04683408,-18.59266146,-18.13310119,2.33798919,2.48162781,2.69126004
5,4.045,-0.60787918,0.79527473,45.12547458,-16.59087061,4.035,4.04,-66.86068541,-66.96989153,-66.98972195,-14.40346174,-13.73003791,-13.00992037,-18.59266146,-18.13310119,-17.64191628,2.48162781,2.69126004,2.83890045
6,4.05,0.93171693,0.82919928,42.89974086,-17.42160159,4.04,4.045,-66.96989153,-66.98972195,-66.90867006,-13.73003791,-13.00992037,-12.31495491,-18.13310119,-17.64191628,-17.12466141,2.69126004,2.83890045,2.9467935
7,4.055,2.24949483,0.8558458,40.66563726,-18.23743693,4.045,4.05,-66.98972195,-66.90867006,-66.73034182,-13.00992037,-12.31495491,-11.67337796,-17.64191628,-17.12466141,-16.58577905,2.83890045,2.9467935,3.08162208
8,4.06,3.34249435,0.87602321,38.43916164,-19.04109678,4.05,4.055,-66.90867006,-66.73034182,-66.46672963,-12.31495491,-11.67337796,-11.06392564,-17.12466141,-16.58577905,-16.03807096,2.9467935,3.08162208,3.21905845
9,4.065,4.2138825,0.89067083,36.23165049,-19.8366581,4.055,4.06,-66.73034182,-66.46672963,-66.12503733,-11.67337796,-11.06392564,-10.4948764,-16.58577905,-16.03807096,-15.47699216,3.08162208,3.21905845,3.38037988
10,4.07,4.87196447,0.90080517,34.05364262,-20.6281319,4.06,4.065,-66.46672963,-66.12503733,-65.66439971,-11.06392564,-10.4948764,-9.93164696,-16.03807096,-15.47699216,-14.90006841,3.21905845,3.38037988,3.49360823
11,4.075,5.32906235,0.90748081,31.91285309,-21.42026898,4.065,4.07,-66.12503733,-65.66439971,-65.13145019,-10.4948764,-9.93164696,-9.41834941,-15.47699216,-14.90006841,-14.3201391,3.38037988,3.49360823,3.63060511
12,4.08,5.60033369,0.91176529,29.81516428,-22.21823251,4.07,4.075,-65.66439971,-65.13145019,-64.51373368,-9.93164696,-9.41834941,-8.93566472,-14.90006841,-14.3201391,-13.73939066,3.49360823,3.63060511,3.76912428
13,4.085,5.70258941,0.91472676,27.76692148,-23.02707187,4.075,4.08,-65.13145019,-64.51373368,-63.81519375,-9.41834941,-8.93566472,-8.48289585,-14.3201391,-13.73939066,-13.16284782,3.63060511,3.76912428,3.90732837
14,4.09,5.65316586,0.91743194,25.7706436,-23.85342672,4.08,4.085,-64.51373368,-63.81519375,-63.03789727,-8.93566472,-8.48289585,-8.05842765,-13.73939066,-13.16284782,-12.59466416,3.76912428,3.90732837,4.04673763
15,4.095,5.46890171,0.92095009,23.8263176,-24.70486471,4.085,4.09,-63.81519375,-63.03789727,-62.18666078,-8.48289585,-8.05842765,-7.65727218,-13.16284782,-12.59466416,-12.04155368,3.90732837,4.04673763,4.18938358
