,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,3.345,3.41456087,5.64861373,-6.21315622,1.07153422,3.335,3.34,-16.62962266,-17.35365059,-18.11460451,-0.66247625,-1.44893019,-2.33484325,-17.76700687,-18.69626017,-19.68066055,3.25215118,2.50575962,1.59934859
1,3.35,6.86793064,6.24256722,-4.61678198,1.08289243,3.34,3.345,-17.35365059,-18.11460451,-18.92289189,-1.44893019,-2.33484325,-3.25182987,-18.69626017,-19.68066055,-20.70263599,2.50575962,1.59934859,0.52750849
2,3.355,11.35263387,6.62597322,-3.21268105,1.11135965,3.345,3.35,-18.11460451,-18.92289189,-19.82758372,-2.33484325,-3.25182987,-4.12683332,-19.68066055,-20.70263599,-21.70193974,1.59934859,0.52750849,-0.78732946
3,3.36,16.62114675,6.73273012,-2.01851998,1.15778092,3.35,3.355,-18.92289189,-19.82758372,-20.77028271,-3.25182987,-4.12683332,-4.98988078,-20.70263599,-21.70193974,-22.88512079,0.52750849,-0.78732946,-2.10558645
4,3.365,22.4124493,6.51624081,-1.04097847,1.22166009,3.355,3.36,-19.82758372,-20.77028271,-21.85250528,-4.12683332,-4.98988078,-5.54751567,-21.70193974,-22.88512079,-23.96246985,-0.78732946,-2.10558645,-3.82934989
5,3.37,28.50211948,5.95417586,-0.27225607,1.30186518,3.36,3.365,-20.77028271,-21.85250528,-23.00574695,-4.98988078,-5.54751567,-6.00463929,-22.88512079,-23.96246985,-25.1830287,-2.10558645,-3.82934989,-5.57281699
6,3.375,34.7303645,5.04785586,0.30964453,1.39675448,3.365,3.37,-21.85250528,-23.00574695,-24.16087466,-5.54751567,-6.00463929,-6.34821128,-23.96246985,-25.1830287,-26.58511145,-3.82934989,-5.57281699,-7.30897168
7,3.38,40.98828576,3.80999178,0.73980124,1.50434959,3.37,3.375,-23.00574695,-24.16087466,-25.46091722,-6.00463929,-6.34821128,-6.25984697,-25.1830287,-26.58511145,-27.81112164,-5.57281699,-7.30897168,-9.52160481
8,3.385,47.21331234,2.2678095,1.0627649,1.62263582,3.375,3.38,-24.16087466,-25.46091722,-26.66503556,-6.34821128,-6.25984697,-6.17516259,-26.58511145,-27.81112164,-29.32338867,-7.30897168,-9.52160481,-11.55535859
9,3.39,53.35736094,0.46150116,1.14958267,1.75988484,3.38,3.385,-25.46091722,-26.66503556,-27.92313234,-6.25984697,-6.17516259,-5.73571696,-27.81112164,-29.32338867,-30.70200091,-9.52160481,-11.55535859,-13.97806314
10,3.395,59.35483707,-1.56617043,1.1606704,1.90292863,3.385,3.39,-26.66503556,-27.92313234,-29.08758152,-6.17516259,-5.73571696,-5.17877483,-29.32338867,-30.70200091,-32.22731859,-11.55535859,-13.97806314,-16.34633117
11,3.4,65.11031055,-3.77263649,1.14433776,2.04891801,3.39,3.395,-27.92313234,-29.08758152,-30.16941064,-5.73571696,-5.17877483,-4.51997981,-30.70200091,-32.22731859,-33.8157979,-13.97806314,-16.34633117,-18.74147757
12,3.405,70.53471107,-6.11677375,1.14827447,2.19508181,3.395,3.4,-29.08758152,-30.16941064,-31.14122939,-5.17877483,-4.51997981,-3.79353627,-32.22731859,-33.8157979,-35.48851708,-16.34633117,-18.74147757,-21.0994046
13,3.41,75.53830249,-8.564422,1.2164489,2.33875502,3.4,3.405,-30.16941064,-31.14122939,-31.96449062,-4.51997981,-3.79353627,-3.06201172,-33.8157979,-35.48851708,-37.23478041,-18.74147757,-21.0994046,-23.32442599
14,3.415,80.08384799,-11.08833108,1.38616684,2.47734994,3.405,3.41,-31.14122939,-31.96449062,-32.78420433,-3.79353627,-3.06201172,-2.14131571,-35.48851708,-37.23478041,-39.00292764,-21.0994046,-23.32442599,-25.51826326
15,3.42,84.12848659,-13.6705928,1.8539468,2.62191532,3.41,3.415,-31.96449062,-32.78420433,-33.38517012,-3.06201172,-2.14131571,-1.3519306,-37.23478041,-39.00292764,-40.80514356,-23.32442599,-25.51826326,-27.45926478
16,3.425,87.63777012,-16.29528337,2.50662457,2.76156408,3.415,3.42,-32.78420433,-33.38517012,-33.91819035,-2.14131571,-1.3519306,-0.5157866,-39.00292764,-40.80514356,-42.65252193,-25.51826326,-27.45926478,-29.16988661
17,3.43,90.56361175,-18.95204025,3.27203879,2.88763294,3.42,3.425,-33.38517012,-33.91819035,-34.44263294,-1.3519306,-0.5157866,0.46035982,-40.80514356,-42.65252193,-44.60580963,-27.45926478,-29.16988661,-30.47015472
18,3.435,92.88151608,-21.62666989,4.12503528,2.99561822,3.425,3.43,-33.91819035,-34.44263294,-34.79327499,-0.5157866,0.46035982,1.28697963,-42.65252193,-44.60580963,-46.4831717,-29.16988661,-30.47015472,-31.55118693
19,3.44,94.57878303,-24.30260656,5.03072076,3.08093131,3.43,3.435,-34.44263294,-34.79327499,-35.07032239,0.46035982,1.28697963,2.09938751,-44.60580963,-46.4831717,-48.42877165,-30.47015472,-31.55118693,-32.09349893
20,3.445,95.66372839,-26.96073419,5.94757725,3.13918917,3.435,3.44,-34.79327499,-35.07032239,-35.24632955,1.28697963,2.09938751,2.8599087,-46.4831717,-48.42877165,-50.28848054,-31.55118693,-32.09349893,-32.36079925
21,3.45,96.1506739,-29.57956575,6.83112982,3.16656117,3.44,3.445,-35.07032239,-35.24632955,-35.35940319,2.09938751,2.8599087,3.54308217,-48.42877165,-50.28848054,-52.06144281,-32.09349893,-32.36079925,-32.34632887
22,3.455,96.07158447,-32.13352882,7.63775928,3.16013074,3.445,3.45,-35.24632955,-35.35940319,-35.40432907,2.8599087,3.54308217,4.20688699,-50.28848054,-52.06144281,-53.78438336,-32.36079925,-32.34632887,-31.93862599
23,3.46,95.449096,-34.59962571,8.32826619,3.11822392,3.45,3.455,-35.35940319,-35.40432907,-35.37307928,3.54308217,4.20688699,4.83475416,-52.06144281,-53.78438336,-55.3842124,-32.34632887,-31.93862599,-31.27024335
24,3.465,94.31359763,-36.95595326,8.87086723,3.04065875,3.455,3.46,-35.40432907,-35.37307928,-35.27389646,4.20688699,4.83475416,5.44068621,-53.78438336,-55.3842124,-56.85957114,-31.93862599,-31.27024335,-30.35482631
25,3.47,92.70055911,-39.18275196,9.24336013,2.92887856,3.46,3.465,-35.37307928,-35.27389646,-35.14471449,4.83475416,5.44068621,5.98004753,-55.3842124,-56.85957114,-58.23087444,-31.27024335,-30.35482631,-29.22429131
26,3.475,90.64949279,-41.265185,9.43426367,2.78594661,3.465,3.47,-35.27389646,-35.14471449,-34.94108043,5.44068621,5.98004753,6.4448534,-56.85957114,-58.23087444,-59.43822278,-30.35482631,-29.22429131,-27.95589525
