,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,4.905,-4.24693204,8.67474341,-12.00918271,-75.99761279,4.895,4.9,-8.00814898,-8.65138116,-9.29412526,13.20797555,12.92532036,12.54897847,-15.76355126,-16.32750228,-16.92085524,4.40864569,4.28091311,4.09364629
1,4.91,-2.30979349,10.18746761,-11.20270433,-74.39370543,4.9,4.905,-8.65138116,-9.29412526,-9.91731091,12.92532036,12.54897847,12.06337492,-16.32750228,-16.92085524,-17.54171277,4.28091311,4.09364629,3.85575689
2,4.915,0.5511807,11.58977836,-10.49003757,-72.5210003,4.905,4.91,-9.29412526,-9.91731091,-10.5272952,12.54897847,12.06337492,11.50258639,-16.92085524,-17.54171277,-18.19894757,4.09364629,3.85575689,3.48035712
3,4.92,4.00155694,12.81244959,-9.83418002,-70.34177159,4.91,4.915,-9.91731091,-10.5272952,-11.12906386,12.06337492,11.50258639,10.9206166,-17.54171277,-18.19894757,-18.91321651,3.85575689,3.48035712,3.13525293
4,4.925,7.64945371,13.7973911,-9.23078983,-67.83020602,4.915,4.92,-10.5272952,-11.12906386,-11.72939848,11.50258639,10.9206166,10.27379394,-18.19894757,-18.91321651,-19.65398234,3.48035712,3.13525293,2.64013745
5,4.93,11.20565998,14.51866922,-8.68456059,-64.95945842,4.92,4.925,-11.12906386,-11.72939848,-12.34954614,10.9206166,10.27379394,9.68131297,-18.91321651,-19.65398234,-20.47012165,3.13525293,2.64013745,2.14356512
6,4.935,14.56144109,14.98460436,-8.07507718,-61.71177509,4.925,4.93,-11.72939848,-12.34954614,-12.97462254,10.27379394,9.68131297,9.09378026,-19.65398234,-20.47012165,-21.32492319,2.64013745,2.14356512,1.49971833
7,4.94,17.76183363,15.22267382,-7.39998322,-58.08493741,4.93,4.935,-12.34954614,-12.97462254,-13.57176507,9.68131297,9.09378026,8.46989748,-20.47012165,-21.32492319,-22.09115831,2.14356512,1.49971833,0.41415296
8,4.945,20.88429573,15.26847839,-6.65873511,-54.08476452,4.935,4.94,-12.97462254,-13.57176507,-14.24364425,9.09378026,8.46989748,8.095433,-21.32492319,-22.09115831,-23.08980124,1.49971833,0.41415296,-0.29687308
9,4.95,23.96735455,15.16161941,-5.82994058,-49.7265045,4.94,4.945,-13.57176507,-14.24364425,-14.84776299,8.46989748,8.095433,7.73788709,-22.09115831,-23.08980124,-23.976471,0.41415296,-0.29687308,-1.50544709
10,4.955,26.98927722,14.93696443,-4.92608681,-45.05492022,4.945,4.95,-14.24364425,-14.84776299,-15.47221204,8.095433,7.73788709,7.53630565,-23.08980124,-23.976471,-24.97644557,-0.29687308,-1.50544709,-2.69059485
11,4.96,29.9147022,14.6287976,-3.95000604,-40.12942465,4.95,4.955,-14.84776299,-15.47221204,-16.08494132,7.73788709,7.53630565,7.38871043,-23.976471,-24.97644557,-26.05680106,-1.50544709,-2.69059485,-3.94790617
12,4.965,32.71391566,14.26811183,-2.92410879,-35.0365748,4.955,4.96,-15.47221204,-16.08494132,-16.64877719,7.53630565,7.38871043,7.49723673,-24.97644557,-26.05680106,-27.02189178,-2.69059485,-3.94790617,-5.65453955
13,4.97,35.36648409,13.87645601,-1.88736499,-29.88557274,4.96,4.965,-16.08494132,-16.64877719,-17.15131397,7.38871043,7.49723673,7.49712312,-26.05680106,-27.02189178,-28.15695019,-3.94790617,-5.65453955,-7.13750581
14,4.975,37.85428533,13.46468688,-0.89529734,-24.80306228,4.965,4.97,-16.64877719,-17.15131397,-17.58639913,7.49723673,7.49712312,7.58607693,-27.02189178,-28.15695019,-29.26564465,-5.65453955,-7.13750581,-8.8894031
15,4.98,40.16028252,13.03457576,0.02060249,-19.93244423,4.97,4.975,-17.15131397,-17.58639913,-17.97861442,7.49712312,7.58607693,7.93982211,-28.15695019,-29.26564465,-30.32422389,-7.13750581,-8.8894031,-10.94957884
16,4.985,42.27056682,12.58219038,0.80032111,-15.41690247,4.975,4.98,-17.58639913,-17.97861442,-18.28960855,7.58607693,7.93982211,8.06005661,-29.26564465,-30.32422389,-31.57545163,-8.8894031,-10.94957884,-12.6486059
17,4.99,44.16912042,12.09670643,1.28399228,-11.36887928,4.98,4.985,-17.97861442,-18.28960855,-18.49160753,7.93982211,8.06005661,8.20592046,-30.32422389,-31.57545163,-32.77966622,-10.94957884,-12.6486059,-14.65014532
18,4.995,45.83938957,11.56441623,1.42971055,-7.87173821,4.985,4.99,-18.28960855,-18.49160753,-18.64543059,8.06005661,8.20592046,8.42152433,-31.57545163,-32.77966622,-34.10240443,-12.6486059,-14.65014532,-16.52155848
19,5.0,47.26556346,10.97386751,1.27508841,-4.95904541,4.99,4.995,-18.49160753,-18.64543059,-18.69626311,8.20592046,8.42152433,8.56655716,-32.77966622,-34.10240443,-35.41550623,-14.65014532,-16.52155848,-18.43422077
20,5.005,48.42911154,10.31328064,-1.05990844,1.61581371,4.995,5.0,-18.64543059,-18.69626311,-18.68972265,8.42152433,8.56655716,8.76171732,-34.10240443,-35.41550623,-36.74091392,-16.52155848,-18.43422077,-20.31953635
21,5.01,49.31233674,9.57443026,-1.00997143,1.68360875,5.0,5.005,-18.69626311,-18.68972265,-18.63576625,8.56655716,8.76171732,8.99470192,-35.41550623,-36.74091392,-38.10738038,-18.43422077,-20.31953635,-22.12160937
