,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,4.135,1.13005635,9.41360299,0.70616529,-90.68420512,4.125,4.13,-12.74780944,-13.71421889,-14.68785417,0.80405901,0.34404557,-0.33002835,-18.4913166,-19.45390986,-20.48969211,24.02547766,23.99666144,23.91472857
1,4.14,2.93576394,11.04435246,2.47177901,-87.50186443,4.13,4.135,-13.71421889,-14.68785417,-15.6722097,0.34404557,-0.33002835,-1.12316162,-19.45390986,-20.48969211,-21.55250656,23.99666144,23.91472857,23.69423009
2,4.145,5.31579855,12.54269863,3.93688955,-83.70784731,4.135,4.14,-14.68785417,-15.6722097,-16.67619977,-0.33002835,-1.12316162,-1.96712679,-20.48969211,-21.55250656,-22.661586,23.91472857,23.69423009,23.3395433
3,4.15,8.04050089,13.8509094,5.1420288,-79.28391084,4.14,4.145,-15.6722097,-16.67619977,-17.69057334,-1.12316162,-1.96712679,-2.82667878,-21.55250656,-22.661586,-23.82601261,23.69423009,23.3395433,22.8248799
4,4.155,10.87703422,14.9282226,6.09409079,-74.24711112,4.145,4.15,-16.67619977,-17.69057334,-18.69379307,-1.96712679,-2.82667878,-3.68571808,-22.661586,-23.82601261,-24.65684738,23.3395433,22.8248799,21.22471659
5,4.16,13.642942,15.76134019,6.81919732,-68.63843981,4.15,4.155,-17.69057334,-18.69379307,-19.75568769,-2.82667878,-3.68571808,-4.42116158,-23.82601261,-24.65684738,-25.89877523,22.8248799,21.22471659,20.38572919
6,4.165,16.27285011,16.36922683,7.39024868,-62.51667162,4.155,4.16,-18.69379307,-19.75568769,-20.79153388,-3.68571808,-4.42116158,-4.91313871,-24.65684738,-25.89877523,-26.97837237,21.22471659,20.38572919,18.78569851
7,4.17,18.80589395,16.77475587,7.83614991,-55.98645168,4.16,4.165,-19.75568769,-20.79153388,-21.79769695,-4.42116158,-4.91313871,-5.43562674,-25.89877523,-26.97837237,-28.21294504,20.38572919,18.78569851,17.31823347
8,4.175,21.33346278,17.01203391,8.21272073,-49.17360151,4.165,4.17,-20.79153388,-21.79769695,-22.79303726,-4.91313871,-5.43562674,-5.7367791,-26.97837237,-28.21294504,-29.39621338,18.78569851,17.31823347,15.47496862
9,4.18,23.94315995,17.10994497,8.57665182,-42.23627605,4.17,4.175,-21.79769695,-22.79303726,-23.69569617,-5.43562674,-5.7367791,-6.01108103,-28.21294504,-29.39621338,-30.62084364,17.31823347,15.47496862,13.48240462
