,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,3.22,26.73197066,-2.55393149,-7.25036641,0.20097029,3.21,3.215,-15.60790137,-15.46791243,-15.29944885,-7.15746439,-6.83260182,-6.53309822,-60.63083485,-61.23463848,-61.73612385,-26.63864096,-26.11164291,-25.50003378
1,3.225,25.96782663,-3.11042631,-5.15664626,0.30939381,3.215,3.22,-15.46791243,-15.29944885,-15.14389686,-6.83260182,-6.53309822,-6.23886309,-61.23463848,-61.73612385,-62.14027471,-26.11164291,-25.50003378,-24.78076922
2,3.23,25.14161687,-3.71131943,-3.2006212,0.4065872,3.22,3.225,-15.29944885,-15.14389686,-14.9882505,-6.53309822,-6.23886309,-5.95483927,-61.73612385,-62.14027471,-62.42736291,-25.50003378,-24.78076922,-24.00559898
3,3.235,24.27388023,-4.35123302,-1.41448901,0.49168907,3.225,3.23,-15.14389686,-14.9882505,-14.83274765,-6.23886309,-5.95483927,-5.67454417,-62.14027471,-62.42736291,-62.59732214,-24.78076922,-24.00559898,-23.19238841
4,3.24,23.38717432,-5.02452809,0.1779915,0.5646041,3.23,3.235,-14.9882505,-14.83274765,-14.67252725,-5.95483927,-5.67454417,-5.39909462,-62.42736291,-62.59732214,-62.65914426,-24.00559898,-23.19238841,-22.25206833
5,3.245,22.49968713,-5.72813544,1.56153974,0.62588488,3.235,3.24,-14.83274765,-14.67252725,-14.5284339,-5.67454417,-5.39909462,-5.15008144,-62.59732214,-62.65914426,-62.60159819,-23.19238841,-22.25206833,-21.33031233
6,3.25,21.62271592,-6.46082826,2.72886242,0.67657607,3.24,3.245,-14.67252725,-14.5284339,-14.37725098,-5.39909462,-5.15008144,-4.89026094,-62.65914426,-62.60159819,-62.44301306,-22.25206833,-21.33031233,-20.43161919
7,3.255,20.75934264,-7.22332973,3.67977101,0.71804633,3.245,3.25,-14.5284339,-14.37725098,-14.24848839,-5.15008144,-4.89026094,-4.66018032,-62.60159819,-62.44301306,-62.17863868,-21.33031233,-20.43161919,-19.57244421
8,3.26,19.90816696,-8.01756001,4.42003317,0.75182813,3.25,3.255,-14.37725098,-14.24848839,-14.09742211,-4.89026094,-4.66018032,-4.41958194,-62.44301306,-62.17863868,-61.82996927,-20.43161919,-19.57244421,-18.72883935
9,3.265,19.06590344,-8.84454008,4.9600808,0.77947809,3.255,3.26,-14.24848839,-14.09742211,-13.91138011,-4.66018032,-4.41958194,-4.18163227,-62.17863868,-61.82996927,-61.40929296,-19.57244421,-18.72883935,-17.91526953
10,3.27,18.22658676,-9.70447904,5.31368647,0.80246422,3.26,3.265,-14.09742211,-13.91138011,-13.75790449,-4.41958194,-4.18163227,-3.96190393,-61.82996927,-61.40929296,-60.90824622,-18.72883935,-17.91526953,-17.15494326
