,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,2.95,-12.87493551,0.73827698,85.76065615,-11.71343748,2.94,2.945,-63.80604771,-64.44014758,-64.92497022,-21.48592293,-20.37863817,-19.42478541,-24.07996064,-23.75195518,-23.35597051,-1.16126745,-0.8331038,-0.49453084
1,2.955,-9.89455106,0.80999872,81.50483348,-13.68866154,2.945,2.95,-64.44014758,-64.92497022,-65.17906421,-20.37863817,-19.42478541,-19.09961563,-23.75195518,-23.35597051,-23.00615671,-0.8331038,-0.49453084,-0.09780733
2,2.96,-7.10291717,0.87037281,77.21020239,-15.6017086,2.95,2.955,-64.92497022,-65.17906421,-65.45281054,-19.42478541,-19.09961563,-18.20190459,-23.35597051,-23.00615671,-22.62684276,-0.49453084,-0.09780733,0.21591386
3,2.965,-4.54106503,0.9194927,72.86676158,-17.45060285,2.955,2.96,-65.17906421,-65.45281054,-65.60492095,-19.09961563,-18.20190459,-17.42335263,-23.00615671,-22.62684276,-22.13509038,-0.09780733,0.21591386,0.41544912
4,2.97,-2.24040512,0.9580636,68.48631226,-19.23658514,2.96,2.965,-65.45281054,-65.60492095,-65.65874477,-18.20190459,-17.42335263,-16.61851481,-22.62684276,-22.13509038,-21.75101935,0.21591386,0.41544912,0.81091532
5,2.975,-0.22233493,0.98731748,64.1064916,-20.96163512,2.965,2.97,-65.60492095,-65.65874477,-65.50431459,-17.42335263,-16.61851481,-16.22949957,-22.13509038,-21.75101935,-21.28459498,0.41544912,0.81091532,1.11552018
6,2.98,1.50153078,1.00891348,59.75440113,-22.63266486,2.97,2.975,-65.65874477,-65.50431459,-65.38744801,-16.61851481,-16.22949957,-15.38910148,-21.75101935,-21.28459498,-20.82102716,0.81091532,1.11552018,1.35786167
7,2.985,2.92866208,1.02483463,55.47598738,-24.25767693,2.975,2.98,-65.50431459,-65.38744801,-65.19003548,-16.22949957,-15.38910148,-14.51904826,-21.28459498,-20.82102716,-20.30065923,1.11552018,1.35786167,1.60000978
8,2.99,4.06467208,1.03727605,51.3350192,-25.84666236,2.98,2.985,-65.38744801,-65.19003548,-64.87441851,-15.38910148,-14.51904826,-13.71963016,-20.82102716,-20.30065923,-19.78808631,1.35786167,1.60000978,1.79447596
9,2.995,4.92217048,1.04852662,47.37498713,-27.40939355,2.985,2.99,-65.19003548,-64.87441851,-64.38862114,-14.51904826,-13.71963016,-13.24299925,-20.30065923,-19.78808631,-19.24821869,1.60000978,1.79447596,2.0804907
10,3.0,5.51932481,1.06085679,43.62625237,-28.95452062,2.99,2.995,-64.87441851,-64.38862114,-63.92450567,-13.71963016,-13.24299925,-12.44665988,-19.78808631,-19.24821869,-18.72777279,1.79447596,2.0804907,2.3037918
11,3.005,5.87821208,1.0764183,40.10945442,-30.49039509,2.995,3.0,-64.38862114,-63.92450567,-63.36171,-13.24299925,-12.44665988,-11.69743146,-19.24821869,-18.72777279,-18.19337204,2.0804907,2.3037918,2.49806633
12,3.01,6.02320077,1.09715082,36.82972637,-32.02327579,3.0,3.005,-63.92450567,-63.36171,-62.71350654,-12.44665988,-11.69743146,-11.01232933,-18.72777279,-18.19337204,-17.66045252,2.3037918,2.49806633,2.68912379
13,3.015,5.9794933,1.12469518,33.7906131,-33.55678573,3.005,3.01,-63.36171,-62.71350654,-61.98381123,-11.69743146,-11.01232933,-10.40028345,-18.19337204,-17.66045252,-17.13774727,2.49806633,2.68912379,2.86929106
14,3.02,5.77181882,1.16031932,30.98387289,-35.09336211,3.01,3.015,-62.71350654,-61.98381123,-61.17438424,-11.01232933,-10.40028345,-9.86340511,-17.66045252,-17.13774727,-16.625106,2.68912379,2.86929106,3.04042493
15,3.025,5.42327611,1.20486218,28.39213944,-36.63450857,3.015,3.02,-61.98381123,-61.17438424,-60.2886587,-10.40028345,-9.86340511,-9.39747924,-17.13774727,-16.625106,-16.12179368,2.86929106,3.04042493,3.20220754
16,3.03,4.94037606,1.25720285,25.99513709,-38.1812754,3.02,3.025,-61.17438424,-60.2886587,-59.33002896,-9.86340511,-9.39747924,-9.00453837,-16.625106,-16.12179368,-15.62972487,3.04042493,3.20220754,3.35380548
17,3.035,4.32556589,1.31587119,23.76662395,-39.73561757,3.025,3.03,-60.2886587,-59.33002896,-58.3016816,-9.39747924,-9.00453837,-8.67553978,-16.12179368,-15.62972487,-15.14577712,3.20220754,3.35380548,3.49928589
18,3.04,3.59874182,1.38124816,21.67904337,-41.30001838,3.03,3.035,-59.33002896,-58.3016816,-57.20884201,-9.00453837,-8.67553978,-8.42489263,-15.62972487,-15.14577712,-14.66614849,3.35380548,3.49928589,3.62007518
19,3.045,2.76469095,1.45208218,19.71137253,-42.87819547,3.035,3.04,-58.3016816,-57.20884201,-56.07141513,-8.67553978,-8.42489263,-8.17700287,-15.14577712,-14.66614849,-14.19454295,3.49928589,3.62007518,3.76739782
20,3.05,1.82429412,1.52673146,17.8438148,-44.47652676,3.04,3.045,-57.20884201,-56.07141513,-54.81741913,-8.42489263,-8.17700287,-8.00287749,-14.66614849,-14.19454295,-13.73313198,3.62007518,3.76739782,3.9258094
21,3.055,0.77504579,1.60319919,16.06425688,-46.10289363,3.045,3.05,-56.07141513,-54.81741913,-53.56915789,-8.17700287,-8.00287749,-7.71232115,-14.19454295,-13.73313198,-13.24035811,3.76739782,3.9258094,4.12583775
22,3.06,-0.38812665,1.67917395,14.36271538,-47.76628149,3.05,3.055,-54.81741913,-53.56915789,-52.23201656,-8.00287749,-7.71232115,-7.61102153,-13.73313198,-13.24035811,-12.82585957,3.9258094,4.12583775,4.28419574
23,3.065,-1.67181146,1.7520801,12.73430006,-49.47648378,3.055,3.06,-53.56915789,-52.23201656,-50.81051505,-7.71232115,-7.61102153,-7.56093054,-13.24035811,-12.82585957,-12.38966778,4.12583775,4.28419574,4.45096326
24,3.07,-3.08296173,1.8191436,11.18639834,-51.24284847,3.06,3.065,-52.23201656,-50.81051505,-49.34073679,-7.61102153,-7.56093054,-7.49495262,-12.82585957,-12.38966778,-11.96611575,4.28419574,4.45096326,4.64032871
25,3.075,-4.62771901,1.87747513,9.7363954,-53.073644,3.065,3.07,-50.81051505,-49.34073679,-47.83272497,-7.56093054,-7.49495262,-7.4143929,-12.38966778,-11.96611575,-11.55836034,4.45096326,4.64032871,4.8736937
26,3.08,-6.31022597,1.92416819,8.41101572,-54.97425992,3.07,3.075,-49.34073679,-47.83272497,-46.26685323,-7.49495262,-7.4143929,-7.36152632,-11.96611575,-11.55836034,-11.17889963,4.64032871,4.8736937,5.07861814
27,3.085,-8.13146058,1.95640958,7.23393505,-56.94903067,3.075,3.08,-47.83272497,-46.26685323,-44.64979412,-7.4143929,-7.36152632,-7.27233734,-11.55836034,-11.17889963,-10.83722928,4.8736937,5.07861814,5.27766222
28,3.09,-10.08813693,1.97159954,6.20507267,-59.00258008,3.08,3.085,-46.26685323,-44.64979412,-43.03883011,-7.36152632,-7.27233734,-7.08584255,-11.17889963,-10.83722928,-10.4526038,5.07861814,5.27766222,5.45188134
29,3.095,-12.17174192,1.96747587,5.29809343,-61.14106086,3.085,3.09,-44.64979412,-43.03883011,-41.37065403,-7.27233734,-7.08584255,-6.96189735,-10.83722928,-10.4526038,-10.18092831,5.27766222,5.45188134,5.62650988
30,3.1,-14.21602673,1.95197897,4.47360627,-63.36978413,3.09,3.095,-43.03883011,-41.37065403,-39.65308475,-7.08584255,-6.96189735,-6.87850047,-10.4526038,-10.18092831,-9.89066793,5.45188134,5.62650988,5.85339834
