,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
21,3.68,4.11429549,1.91973425,40.8876481,13.00799936,3.67,3.675,-55.9767585,-57.79091963,-59.42756823,-33.24911687,-32.93774937,-32.72016255,-23.55336315,-23.53068518,-23.44246287,-4.46752944,-4.24923173,-3.92117449
22,3.685,4.20114332,1.88581793,40.91931263,12.43301272,3.675,3.68,-57.79091963,-59.42756823,-60.98430756,-32.93774937,-32.72016255,-32.18121851,-23.53068518,-23.44246287,-23.31717392,-4.24923173,-3.92117449,-3.56170731
23,3.69,4.30186125,1.84354057,40.71014308,11.850071,3.68,3.685,-59.42756823,-60.98430756,-62.48808083,-32.72016255,-32.18121851,-31.2281787,-23.44246287,-23.31717392,-23.19676238,-3.92117449,-3.56170731,-3.10901731
24,3.695,4.33281687,1.78396397,40.26657618,11.25646344,3.685,3.69,-60.98430756,-62.48808083,-63.84009711,-32.18121851,-31.2281787,-30.20234934,-23.31717392,-23.19676238,-23.03068961,-3.56170731,-3.10901731,-2.61488664
25,3.7,4.29892658,1.70898704,39.60287064,10.65004185,3.69,3.695,-62.48808083,-63.84009711,-65.10261195,-31.2281787,-30.20234934,-29.06031937,-23.19676238,-23.03068961,-22.83019921,-3.10901731,-2.61488664,-2.11771741
26,3.705,4.20718534,1.62119711,38.73602536,10.02451685,3.695,3.7,-63.84009711,-65.10261195,-66.31545006,-30.20234934,-29.06031937,-27.71607804,-23.03068961,-22.83019921,-22.60993366,-2.61488664,-2.11771741,-1.63205845
27,3.71,4.06588481,1.52367757,37.6862433,9.3717503,3.7,3.705,-65.10261195,-66.31545006,-67.37321872,-29.06031937,-27.71607804,-26.48843454,-22.83019921,-22.60993366,-22.32877768,-2.11771741,-1.63205845,-1.10839482
28,3.715,3.88382609,1.41978743,36.48202712,8.68461605,3.705,3.71,-66.31545006,-67.37321872,-68.31565579,-27.71607804,-26.48843454,-25.23959309,-22.60993366,-22.32877768,-22.00584861,-1.63205845,-1.10839482,-0.6160991
29,3.72,3.66960408,1.31293825,35.1511258,7.95400758,3.71,3.715,-67.37321872,-68.31565579,-69.20155344,-26.48843454,-25.23959309,-23.94812708,-22.32877768,-22.00584861,-21.69685882,-1.10839482,-0.6160991,-0.04120826
30,3.725,3.4310293,1.20639028,33.72356674,7.17182913,3.715,3.72,-68.31565579,-69.20155344,-69.98182865,-25.23959309,-23.94812708,-22.81828594,-22.00584861,-21.69685882,-21.31425527,-0.6160991,-0.04120826,0.43915864
31,3.73,3.17573151,1.10310387,32.23091446,6.33303512,3.72,3.725,-69.20155344,-69.98182865,-70.64894708,-23.94812708,-22.81828594,-21.66515985,-21.69685882,-21.31425527,-20.92854455,-0.04120826,0.43915864,0.95306343
32,3.735,2.90745685,1.00555279,30.70331455,5.43497958,3.725,3.73,-69.98182865,-70.64894708,-71.22804147,-22.81828594,-21.66515985,-20.63308193,-21.31425527,-20.92854455,-20.50321202,0.43915864,0.95306343,1.39699565
33,3.74,2.62997936,0.91572463,29.1681351,4.47775712,3.73,3.735,-70.64894708,-71.22804147,-71.69276231,-21.66515985,-20.63308193,-19.60360522,-20.92854455,-20.50321202,-20.07674047,0.95306343,1.39699565,1.83984458
34,3.745,2.34642659,0.83508031,27.64820546,3.46568659,3.735,3.74,-71.22804147,-71.69276231,-72.0841892,-20.63308193,-19.60360522,-18.72005427,-20.50321202,-20.07674047,-19.63259149,1.39699565,1.83984458,2.20859404
35,3.75,2.05889122,0.76455529,26.16050273,2.40552501,3.74,3.745,-71.69276231,-72.0841892,-72.37332977,-19.60360522,-18.72005427,-17.85227496,-20.07674047,-19.63259149,-19.1924015,1.83984458,2.20859404,2.57802971
36,3.755,1.76867435,0.70460301,24.71750957,1.3047287,3.745,3.75,-72.0841892,-72.37332977,-72.56508638,-18.72005427,-17.85227496,-17.02884018,-19.63259149,-19.1924015,-18.74785128,2.20859404,2.57802971,2.9287625
37,3.76,1.47653889,0.65525935,23.32588259,0.17198859,3.75,3.755,-72.37332977,-72.56508638,-72.61851519,-17.85227496,-17.02884018,-16.25232642,-19.1924015,-18.74785128,-18.24433055,2.57802971,2.9287625,3.21190523
