,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,8.02,80.31090127,-22.79633869,-15.04248537,0.20942982,8.01,8.015,-30.32874227,-29.80758733,-29.25138622,3.30365745,3.50777036,3.75027045,-65.56336339,-66.39989264,-67.24487008,-23.76723815,-22.8681182,-22.01649924
1,8.025,74.79930228,-23.57624771,-11.92649223,0.35572994,8.015,8.02,-29.80758733,-29.25138622,-28.67557554,3.50777036,3.75027045,3.93383993,-66.39989264,-67.24487008,-67.99811719,-22.8681182,-22.01649924,-21.41746867
2,8.03,69.53971766,-24.34469687,-8.93062798,0.49062574,8.02,8.025,-29.25138622,-28.67557554,-28.07064204,3.75027045,3.93383993,4.04078785,-67.24487008,-67.99811719,-68.63755175,-22.01649924,-21.41746867,-21.16444293
3,8.035,64.58475527,-25.10385718,-6.10236964,0.61256086,8.025,8.03,-28.67557554,-28.07064204,-27.47178204,3.93383993,4.04078785,4.24998866,-67.99811719,-68.63755175,-69.27839389,-21.41746867,-21.16444293,-20.52956003
4,8.04,59.9619273,-25.85951013,-3.48199029,0.72062183,8.03,8.035,-28.07064204,-27.47178204,-26.83886654,4.04078785,4.24998866,4.350439,-68.63755175,-69.27839389,-69.74733557,-21.16444293,-20.52956003,-20.36405927
5,8.045,55.70198022,-26.61343426,-1.10141588,0.81456286,8.035,8.04,-27.47178204,-26.83886654,-26.24184161,4.24998866,4.350439,4.53194577,-69.27839389,-69.74733557,-70.22775482,-20.52956003,-20.36405927,-19.73236447
6,8.05,51.81236254,-27.3703778,1.01647129,0.89479555,8.04,8.045,-26.83886654,-26.24184161,-25.63003422,4.350439,4.53194577,4.65600815,-69.74733557,-70.22775482,-70.5659722,-20.36405927,-19.73236447,-19.27752991
7,8.055,48.29608624,-28.13297098,2.8580863,0.96234136,8.045,8.05,-26.24184161,-25.63003422,-25.02603436,4.53194577,4.65600815,4.77191776,-70.22775482,-70.5659722,-70.81210649,-19.73236447,-19.27752991,-18.71373947
8,8.06,45.1443046,-28.90493268,4.41877397,1.01875074,8.05,8.055,-25.63003422,-25.02603436,-24.4105307,4.65600815,4.77191776,4.81142143,-70.5659722,-70.81210649,-70.9159981,-19.27752991,-18.71373947,-18.40674772
9,8.065,42.33245606,-29.69135588,5.70214613,1.06600009,8.055,8.06,-25.02603436,-24.4105307,-23.85311311,4.77191776,4.81142143,5.0086451,-70.81210649,-70.9159981,-71.03901285,-18.71373947,-18.40674772,-17.39419382
