,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,3.69,-10.82061802,0.30046348,55.61979448,-10.24661693,3.68,3.685,-54.43339322,-56.25231222,-57.84356242,-41.27421314,-39.48783313,-37.92587084,-28.57637282,-27.97374378,-27.51214337,-3.63744112,-3.1637615,-2.35526959
1,3.695,-8.6045167,0.44485056,52.01332504,-12.99064979,3.685,3.69,-56.25231222,-57.84356242,-59.40687762,-39.48783313,-37.92587084,-35.83641759,-27.97374378,-27.51214337,-26.86883307,-3.1637615,-2.35526959,-1.76273307
2,3.7,-6.56080761,0.54911004,48.28834974,-15.66067698,3.69,3.695,-57.84356242,-59.40687762,-60.81823992,-37.92587084,-35.83641759,-33.76583692,-27.51214337,-26.86883307,-26.23240421,-2.35526959,-1.76273307,-1.15379797
3,3.705,-4.74980594,0.60955966,44.47938675,-18.21515393,3.695,3.7,-59.40687762,-60.81823992,-62.11075266,-35.83641759,-33.76583692,-31.61109047,-26.86883307,-26.23240421,-25.53699678,-1.76273307,-1.15379797,-0.59954297
4,3.71,-3.18655646,0.62808721,40.60795681,-20.62428764,3.7,3.705,-60.81823992,-62.11075266,-63.3023754,-33.76583692,-31.61109047,-29.36366307,-26.23240421,-25.53699678,-24.83005069,-1.15379797,-0.59954297,-0.10977432
5,3.715,-1.86318042,0.6101312,36.70324664,-22.86611334,3.705,3.71,-62.11075266,-63.3023754,-64.38099874,-31.61109047,-29.36366307,-27.01475622,-25.53699678,-24.83005069,-24.07687939,-0.59954297,-0.10977432,0.3342145
6,3.72,-0.78846315,0.55906585,32.798611,-24.92454475,3.71,3.715,-63.3023754,-64.38099874,-65.38155055,-29.36366307,-27.01475622,-24.27589038,-24.83005069,-24.07687939,-23.27188322,-0.10977432,0.3342145,0.69538459
7,3.725,0.04182668,0.47974404,28.92086959,-26.79285557,3.715,3.72,-64.38099874,-65.38155055,-66.05994467,-27.01475622,-24.27589038,-23.46619579,-24.07687939,-23.27188322,-22.44875672,0.3342145,0.69538459,0.90476062
8,3.73,0.6453133,0.37878797,25.13822679,-28.46176276,3.72,3.725,-65.38155055,-66.05994467,-64.99540207,-24.27589038,-23.46619579,-6.58306948,-23.27188322,-22.44875672,-21.85280504,0.69538459,0.90476062,1.4692244
9,3.735,1.05001698,0.26430967,21.50584336,-29.9273785,3.725,3.73,-66.05994467,-64.99540207,-65.54308251,-23.46619579,-6.58306948,-5.40874585,-22.44875672,-21.85280504,-20.9611255,0.90476062,1.4692244,1.5390405
10,3.74,1.28916923,0.14499513,18.073295,-31.19048788,3.73,3.735,-64.99540207,-65.54308251,-65.98951899,-6.58306948,-5.40874585,-4.23127641,-21.85280504,-20.9611255,-19.98862847,1.4692244,1.5390405,1.45681908
11,3.745,1.3970344,0.02913412,14.93727507,-32.24861766,3.735,3.74,-65.54308251,-65.98951899,-66.33181979,-5.40874585,-4.23127641,-2.94997263,-20.9611255,-19.98862847,-19.04489046,1.5390405,1.45681908,1.39565491
12,3.75,1.40673488,-0.07602479,12.10941701,-33.10214844,3.74,3.745,-65.98951899,-66.33181979,-66.56559832,-4.23127641,-2.94997263,-1.60421102,-19.98862847,-19.04489046,-18.09694978,1.45681908,1.39565491,1.27877714
13,3.755,1.34889821,-0.164691,9.57406863,-33.75606282,3.745,3.75,-66.33181979,-66.56559832,-66.64443999,-2.94997263,-1.60421102,-0.22553301,-19.04489046,-18.09694978,-17.16258594,1.39565491,1.27877714,1.09752932
14,3.76,1.25049352,-0.23280113,7.29127931,-34.22133387,3.75,3.755,-66.56559832,-66.64443999,-66.65821657,-1.60421102,-0.22553301,1.2925598,-18.09694978,-17.16258594,-16.25569565,1.27877714,1.09752932,0.94083579
15,3.765,1.1340453,-0.27808703,5.21572039,-34.51159344,3.755,3.76,-66.64443999,-66.65821657,-66.57842037,-0.22553301,1.2925598,2.82704739,-17.16258594,-16.25569565,-15.37549458,1.09752932,0.94083579,0.7622875
16,3.77,1.01734313,-0.29993396,3.32322968,-34.64106133,3.76,3.765,-66.65821657,-66.57842037,-66.40088659,1.2925598,2.82704739,4.37903553,-16.25569565,-15.37549458,-14.53046991,0.94083579,0.7622875,0.5784139
17,3.775,0.91355631,-0.29908814,1.61723541,-34.62394371,3.765,3.77,-66.57842037,-66.40088659,-66.13055388,2.82704739,4.37903553,5.91499206,-15.37549458,-14.53046991,-13.73676935,0.7622875,0.5784139,0.40088358
18,3.78,0.83158936,-0.27729245,0.09995103,-34.47911617,3.77,3.775,-66.40088659,-66.13055388,-65.76292844,4.37903553,5.91499206,7.39137766,-14.53046991,-13.73676935,-12.97625641,0.5784139,0.40088358,0.22795353
19,3.785,0.77654783,-0.23692024,-1.22353171,-34.22720194,3.775,3.78,-66.13055388,-65.76292844,-65.36105443,5.91499206,7.39137766,8.80686535,-13.73676935,-12.97625641,-12.30757436,0.40088358,0.22795353,0.13431921
20,3.79,0.75026369,-0.18065202,-2.35068118,-33.88870629,3.78,3.785,-65.76292844,-65.36105443,-64.85990402,7.39137766,8.80686535,10.14254559,-12.97625641,-12.30757436,-11.6317215,0.22795353,0.13431921,-0.0520846
21,3.795,0.7518631,-0.1112174,-3.29566601,-33.48683219,3.785,3.79,-65.36105443,-64.85990402,-64.26920391,8.80686535,10.14254559,11.35012174,-12.30757436,-11.6317215,-10.95759916,0.13431921,-0.0520846,-0.27794077
22,3.8,0.77833377,-0.03120779,-4.07565304,-33.04340292,3.79,3.795,-64.85990402,-64.26920391,-63.53009601,10.14254559,11.35012174,12.40856838,-11.6317215,-10.95759916,-10.26643738,-0.0520846,-0.27794077,-0.5897919
23,3.805,0.82504919,0.05704492,-4.72396935,-32.58346028,3.795,3.8,-64.26920391,-63.53009601,-62.82165368,11.35012174,12.40856838,13.41268401,-10.95759916,-10.26643738,-9.70957367,-0.27794077,-0.5897919,-0.71981439
