,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,2.99,-0.118981,6.67528102,-2.45348262,-89.27178864,2.98,2.985,-14.70857728,-15.69472151,-16.70576225,10.64868971,10.10559559,9.33648301,-19.92159896,-20.9173408,-22.00801969,26.58732513,26.64188214,26.61383115
1,2.995,1.25836061,7.94131281,-1.50286902,-87.24502112,2.985,2.99,-15.69472151,-16.70576225,-17.7217625,10.10559559,9.33648301,8.49945013,-20.9173408,-22.00801969,-23.19971549,26.64188214,26.61383115,26.46984441
2,3.0,3.37057737,9.14362654,-0.49888725,-84.56411561,2.99,2.995,-16.70576225,-17.7217625,-18.74500111,9.33648301,8.49945013,7.63206426,-22.00801969,-23.19971549,-24.4881499,26.61383115,26.46984441,26.21904902
3,3.005,5.98025232,10.21290456,0.59627499,-81.19926684,2.995,3.0,-17.7217625,-18.74500111,-19.78925961,8.49945013,7.63206426,6.78476353,-23.19971549,-24.4881499,-25.85922796,26.46984441,26.21904902,25.85998439
4,3.01,8.84233523,11.09766325,1.81320632,-77.13778803,3.0,3.005,-18.74500111,-19.78925961,-20.85040086,7.63206426,6.78476353,5.98226613,-24.4881499,-25.85922796,-27.32575865,26.21904902,25.85998439,25.38061817
5,3.015,11.82871321,11.74827417,3.10394197,-72.4120388,3.005,3.01,-19.78925961,-20.85040086,-21.94415556,6.78476353,5.98226613,5.26224227,-25.85922796,-27.32575865,-28.86384961,25.85998439,25.38061817,24.77887168
6,3.02,14.89636558,12.15109352,4.47102788,-67.06517533,3.01,3.015,-20.85040086,-21.94415556,-23.01045191,5.98226613,5.26224227,4.54706319,-27.32575865,-28.86384961,-30.53933482,25.38061817,24.77887168,24.0395838
7,3.025,18.10251094,12.31460707,6.00095602,-61.19932073,3.015,3.02,-21.94415556,-23.01045191,-24.07963207,5.26224227,4.54706319,3.99472312,-28.86384961,-30.53933482,-32.27921054,24.77887168,24.0395838,23.15269778
8,3.03,21.55355599,12.25876786,7.4458745,-54.92507924,3.02,3.025,-23.01045191,-24.07963207,-25.11885773,4.54706319,3.99472312,3.54668395,-30.53933482,-32.27921054,-34.10060756,24.0395838,23.15269778,22.12250715
9,3.035,25.33971964,12.00936554,8.72021295,-48.3749518,3.025,3.03,-24.07963207,-25.11885773,-26.10699708,3.99472312,3.54668395,3.2116785,-32.27921054,-34.10060756,-35.99740802,23.15269778,22.12250715,20.94562159
